f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,labels
39.722,96.667,98.333,98.333,98.333,97.222,42.222,86.389,97.778,98.889,98.056,98.889,98.333,91.111,96.667,97.778,98.889,98.333,98.889,98.333,95.556,96.944,98.333,98.889,99.444,98.889,98.333,96.667,97.222,98.333,98.889,98.889,97.778,98.056,95.556,96.944,98.611,98.889,98.889,98.889,97.222,66.667,94.167,98.056,98.333,98.056,96.944,55,36.389,A
96.944,96.667,64.444,50.556,42.778,37.778,32.5,66.111,74.444,79.167,84.167,93.611,44.167,37.5,60.278,70.556,77.778,81.667,84.722,93.056,45.556,59.167,70.278,78.056,82.222,85.278,86.944,93.889,63.056,74.722,82.222,86.389,88.056,89.444,96.389,95.556,97.222,98.889,98.056,98.889,98.333,90.556,45.278,97.222,97.778,98.056,97.5,51.667,36.111,B
65.556,55.278,50.278,46.667,39.444,31.944,28.056,95.556,64.444,60.278,57.778,55.833,41.111,31.944,60.278,80.833,96.944,97.778,96.111,95.556,40,56.944,95,95.278,94.444,96.111,66.944,48.056,61.944,96.944,98.056,96.944,83.611,65.278,52.778,33.056,94.722,59.444,96.111,94.722,68.611,57.5,29.444,36.389,44.167,48.056,50.833,79.444,79.444,C
75.833,59.722,49.722,45.556,40,36.389,30.278,74.722,67.222,59.444,55,48.056,42.5,34.722,92.778,70,65.833,64.444,63.056,93.056,42.5,93.889,76.111,74.444,74.444,97.222,97.5,96.111,77.778,79.444,82.778,98.333,98.333,98.333,97.222,40,89.167,87.5,93.889,97.222,97.5,94.167,33.056,41.111,96.111,94.444,97.5,95.556,45,D
97.222,98.333,98.889,99.444,98.889,98.889,97.222,97.5,98.889,98.333,99.167,97.778,97.778,95.556,97.778,98.889,98.333,98.889,97.222,95.556,58.056,97.222,97.778,98.333,98.333,91.111,68.611,55.278,52.5,96.944,97.778,97.5,85.556,80.556,53.611,43.889,69.167,97.778,98.333,98.333,97.778,48.889,36.667,45.833,96.111,97.778,97.222,64.444,34.167,E
40,96.667,97.222,98.333,97.778,77.778,40.278,95,98.056,98.611,96.111,81.667,80.556,60.556,95.833,96.667,96.944,81.389,74.167,71.389,71.389,96.111,95.556,93.889,81.389,73.333,63.889,54.722,96.111,95.556,93.889,83.889,71.944,55.833,44.444,97.5,96.944,97.5,98.333,93.056,43.889,36.944,95.556,97.778,97.778,94.444,41.111,36.111,31.944,F
34.444,40.556,50.833,95,55.556,42.222,35,39.722,47.5,91.667,94.444,63.056,50.556,41.111,44.444,52.778,95.278,91.944,71.667,65.833,47.222,50.556,60,97.222,97.778,98.333,98.333,94.167,60,68.333,97.222,98.333,98.333,98.611,97.5,97.222,78.889,89.167,98.056,98.333,98.056,96.111,73.056,57.222,96.389,98.889,98.333,97.5,64.722,G
96.389,98.333,98.889,99.444,98.889,98.056,97.5,97.222,98.889,98.889,99.444,98.333,97.778,96.111,80,97.5,98.889,97.778,98.889,85.833,92.778,42.222,50.278,57.5,62.222,67.5,93.056,90,37.778,44.167,50,54.722,61.667,94.444,60.556,33.889,38.611,43.889,48.333,54.722,92.5,62.222,30.278,33.611,38.056,40.833,46.389,76.667,94.167,H
45.556,92.778,58.056,48.889,43.333,38.889,33.056,52.5,90.833,64.444,57.222,51.944,45.556,38.611,91.111,80.556,69.444,63.611,60.278,54.444,48.056,96.111,88.333,98.889,98.889,98.889,98.889,97.778,97.222,97.222,76.667,63.611,58.611,54.167,46.389,97.222,97.778,90,54.722,49.167,44.722,37.222,96.389,96.389,51.389,46.111,41.944,37.778,32.5,I
93.611,96.944,79.444,44.167,39.444,35.556,31.111,62.222,71.111,81.111,95.278,49.167,40.278,35,59.167,68.056,74.444,80.278,95.833,78.889,39.444,57.5,67.778,76.111,81.667,86.111,95.278,76.667,59.722,78.056,97.778,98.333,98.333,93.333,96.944,86.389,98.056,93.056,87.222,80.556,98.611,96.111,77.222,97.222,98.333,95.833,66.111,56.111,45,J
