@relation Leukaemiamattest

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute class {a,b}

@data
161,3282,261,303,-283,44,298,1284,1372,1320,a
588,1627,101,1358,-65,146,307,540,1585,898,a
207,2783,309,254,-395,110,309,236,747,597,a
82,1544,288,-304,-367,86,693,786,2358,1644,a
337,1896,395,-86,290,104,713,968,1985,1322,a
200,2372,58,1168,-40,10,247,368,887,787,a
55,613,84,-233,-366,105,52,344,478,946,a
121,4066,251,-247,-656,104,-215,-196,1061,1917,a
127,1391,155,336,-231,103,-223,310,5668,1440,a
272,972,167,498,-36,64,492,260,1763,442,a
37,780,140,-376,-152,93,-25,210,2685,617,a
306,2433,287,107,41,33,408,146,1638,474,a
44,9811,152,-97,-104,61,724,825,822,1969,a
328,257,145,820,-140,986,360,513,4194,686,a
128,6270,81,76,-198,46,938,440,3420,2572,a
133,6845,202,36,-102,30,848,94,7430,1439,a
71,1234,286,375,-158,3107,926,3755,1300,989,a
-7,-135,141,22,-76,85,390,173,1331,1186,a
69,7686,155,-180,-108,2,615,265,2022,1224,a
-9,10926,180,205,-58,78,827,897,1409,4555,a
126,1830,139,-124,-151,41,68,347,928,2707,a
43,219,124,-102,-243,-37,122,258,464,274,a
77,807,108,425,-275,53,-108,311,1320,590,a
177,1628,102,-205,-263,64,222,593,2071,1823,a
17,2790,203,-229,-203,83,700,104,339,553,a
78,5455,128,66,-53,70,433,741,1444,1909,a
137,2495,84,34,-398,114,-674,-15,898,1076,a
728,454,1450,1537,4830,2139,2947,1192,819,299,b
853,2,781,1481,-312,1185,1050,1243,399,389,b
7109,455,970,17863,4573,2046,4863,5814,645,126,b
3844,297,408,13296,6759,753,2612,2930,556,190,b
1507,166,275,1661,1569,577,1671,1060,653,275,b
262,-252,316,1073,-21,208,2224,1355,569,353,b
1567,297,555,6962,6569,1049,3348,2219,241,279,b
9600,412,1130,14555,7372,1304,6218,4607,600,250,b
894,385,1338,7238,4833,2087,1548,1017,286,381,b
347,1284,774,12339,141,167,3297,2212,737,671,b
1013,58,443,3654,2000,1689,3482,4198,565,200,b
62,8700,168,-65,-323,91,178,7,753,1484,a
84,4614,244,68,-524,70,105,360,2941,606,a
189,4357,154,250,-124,24,92,911,412,1751,a
105,7369,287,107,203,63,399,605,361,1052,a
43,7216,222,-177,-140,70,805,920,810,2428,a
88,6603,390,394,-190,92,-428,-62,1582,1467,a
226,1487,73,-125,-111,45,252,565,2380,1479,a
502,7540,88,-96,-120,165,-52,216,2894,2148,a
51,8791,128,502,-38,-87,-152,289,342,1955,a
86,12307,117,78,-31,14,-61,1110,389,1275,a
7,5433,37,49,-83,-15,28,291,464,980,a
117,1644,111,239,-321,43,43,210,3688,1277,a
101,1671,130,-39,-28,-2,509,187,2630,828,a
26,1327,230,453,-21,94,417,435,2636,1361,a
204,5653,74,163,115,1,1931,1053,503,3923,a
178,4830,252,-166,16,34,395,799,5009,1794,a
343,-28,247,2090,149,38,2451,1616,358,929,a
187,1595,159,359,-77,27,878,646,1088,821,a
169,4537,252,553,-2,167,162,417,857,1297,a
406,7480,122,180,-33,38,373,338,366,1087,a
9433,1,1533,17846,7213,892,2007,3016,258,139,b
850,123,769,21404,19568,1233,3870,3162,658,388,b
995,74,593,2745,9851,1269,2335,1518,422,110,b
3871,120,928,11686,6595,1582,5814,3223,427,197,b
2241,-218,629,10737,4366,643,4403,5704,-20,282,b
2010,51,827,3168,10120,1267,2287,2458,493,196,b
1483,80,646,14193,5903,1480,2871,1724,763,268,b
4177,445,336,2460,3717,1568,2122,2496,269,461,b
140,221,526,123,2130,3166,3186,1705,609,446,b
1347,-170,560,12735,4667,1550,2194,1717,531,375,b
106,249,341,2103,-189,163,543,1095,378,528,b
7807,106,1883,19680,7924,2767,5949,6008,737,253,b
658,-27,2204,3293,2705,1415,4174,1819,458,450,b
6913,-53,1605,24178,5249,1121,7133,3785,810,328,b
