@relation MLLmattest

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute class {a,c,b}

@data
10358.4,15880.4,1301.8,1702.9,-71.4,1217.5,4788.7,5542,9727.4,14650.4,a
10999,20335,3134,2965,-269,1031,6873,9464,12765,13881,a
2006,2423,548,2107,-236,531,3863,864,5942,5536,a
3542,20775,3602,7773,-331,779,5550,6503,6033,13408,a
2363,22301,3810,1223,-96,46,9112,4608,4484,5817,a
8181,22521,-159,1938,-265,1566,4438,4941,6720,14513,a
8134,24855,2167,4024,-78,2173,13886,4451,10401,16957,a
5714,21399,-56,4513,-284,1747,8449,5766,8238,15170,a
2208,29683,3446,2002,-73,1658,4753,3868,9133,18762,a
2008,21932,6192,2073,-135,2096,4525,7238,9096,7968,a
9155,21286,8289,4679,-237,1419,11718,7458,13890,16363,a
3198,22447,957,2015,-292,261,5688,3475,4376,13621,a
2578,24863,1242,2381,-130,415,3535,3467,3350,9771,a
6084,21246,10098,2093,-248,3676,10526,6533,12718,18525,a
2451,25015,796,-305,-270,1607,5017,5644,9157,16739,a
2992,22632,233,3804,-248,917,5489,10102,9473,17861,a
2713,20022,595,-471,-203,186,5132,3035,6948,11312,a
5150,20451,548,351,-122,322,3904,4856,13387,15278,a
2125,22281,2483,4452,-64,819,5802,5112,4485,11211,a
2220,24811,4711,-202,-442,29,9597,3656,3550,13869,a
1798,17130,1324,-637,-204,638,3121,3174,3840,9256,a
2705,27002,24,1229,-379,1605,5274,4538,9259,13545,a
7600,28168,-150,2011,-93,687,4600,3317,9295,14970,a
4509,15161,-145,1020,-123,965,1257,3347,3137,7426,a
1032,19090,-460,344,757,-74,1517,3862,4751,1091,c
87,138,-356,-237,613,-105,993,2381,2345,35,c
1065,18374,-546,-443,1815,-2,2022,3133,3747,4700,c
636,24837,-457,-701,833,-84,1605,2371,4130,5429,c
520,655,-522,-454,12947,-86,1861,2387,3463,2528,c
885,17394,-275,-296,393,-71,1777,2313,3622,2431,c
265,19907,-674,216,1171,-106,2194,2715,2867,4238,c
600,15347,239,29,1448,45,1284,2243,3210,2063,c
580,11140,-83,-21,728,7,950,820,3140,1419,c
223,6890,-813,721,1885,-51,3093,5092,3223,2359,c
423,15737,-419,-419,337,-82,137,3989,842,1243,c
1141,18634,-716,-269,1486,-86,2117,3751,4604,9389,c
1587,19978,-409,-259,1046,42,2326,4772,4410,2304,c
2171,12604,-419,-10,1661,-45,2477,4392,4578,11771,c
299,4758,-678,-691,986,-17,1532,2462,2401,4466,c
631,1228,-813,-518,1562,-27,1089,4276,3226,544,c
28,750,-791,-307,653,-188,817,4493,3711,53,c
603,15283,-769,-349,2406,-8,5104,4215,4476,7816,c
1033,15562,-840,-41,707,108,1622,3925,2508,5638,c
2194,1458,-618,-555,3332,-26,4242,6687,7695,2028,c
13,530,-877,-1129,-385,-77,924,2049,1438,23,b
194,274,-1057,-238,126,-130,754,829,848,596,b
205,852,-1232,-1219,-302,-89,1599,1184,2225,3244,b
-80,-19,-1061,-1172,-538,-170,-449,3110,1266,119,b
183,229,-798,-993,70,-149,872,727,1283,-52,b
-140,478,-1035,-764,145,-158,247,1092,1788,-72,b
123,21,-748,-999,-12,-111,16,2811,2354,54,b
31,330,-475,-750,-10,-127,146,1851,2625,14,b
76,575,-828,-915,469,-24,1167,2962,1594,23,b
-66,898,-1148,-1340,1530,-149,76,2887,2032,37,b
1025,5653,-393,-1214,448,-141,302,2723,2582,3025,b
44,574,-883,-841,-222,-197,322,1790,1813,6669,b
-2,656,-1090,-1053,-272,-99,524,1644,1776,-73,b
85,443,-1374,-1143,-516,-263,-119,245,522,179,b
-208,492,-1292,-2009,-48,-294,1153,1144,1462,70,b
30,692,-1437,-1345,-21,-131,226,1931,1873,-58,b
-256,202,-1904,-791,-300,-244,-2556,971,1131,83,b
-81,52,-667,-770,96,-39,1079,962,1331,306,b
45,501,-1248,-387,516,-127,-541,1251,1438,178,b
-118,794,-1794,-1339,169,-201,754,1177,1167,162,b
53,536,-501,-261,216,-82,235,816,1192,-45,b
-60,633,-1013,-375,35,-82,494,1163,1161,30,b
96,453,-898,-223,467,-195,1446,680,1568,11,b
-26,804,-1122,-1039,160,-124,2698,703,874,1,b
151,253,-873,-575,-59,-98,-286,1904,1883,16,b
-30,492,-1214,-1299,-328,-257,772,1104,1295,7,b
79,495,-931,-904,314,-188,83,1516,1815,25,b
-20,219,-1554,-1299,-329,-219,517,590,2000,-71,b
