@relation bladderGSE89

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute class {a,b,c}

@data
3890,4941.4,4212.5,4356.7,3502.5,-2,2735.5,3819.5,105.7,406.8,a
3698.9,5273.5,4521.3,4597.9,3459.4,224.3,3032.9,3530.6,101.5,171.2,a
1096.5,640.3,648.8,451.2,913.8,616.8,470.9,782.4,273.3,358.1,b
2235.9,1470.1,1543.3,1191.9,1945.2,775.2,1338.4,1601.1,303.1,328.7,b
2786.5,3470.5,3031.7,3046.5,2874,102.5,1980.3,2754.4,41.3,175.9,a
3673.1,4821.2,4216.3,4445.4,3266.3,194,2901.3,3651,84.7,168.8,a
1276.3,813.5,737.6,609.6,1106.6,797.8,846,917,423.7,482.4,b
4432.7,5251.6,4693.4,4832.9,3668.3,270.8,3095.5,3304.6,115.4,186.2,a
5487.1,6304.5,5083.7,6736,2815.9,31.2,3284.6,3845.8,15.1,236.8,a
2553.1,1977.4,2001.8,1482.3,2184.5,530.5,1385.4,1808.7,418.8,316.8,b
5178.7,4634.4,5071.4,6462.3,3400.3,64.6,3307.5,3427.2,50.6,149.6,a
1607.2,1198.6,1022.2,822.2,1371.1,757.8,882,1184.3,395,384.6,b
1831.8,1674.5,1496.5,1334.2,1599.6,366.5,957.9,1347.9,286,255.4,b
1134.3,807,733.7,612.9,996.2,420.4,685.5,858.9,337.2,322.5,b
3945.3,4690.2,4285.8,3684.9,3715.3,324.6,2699.1,3953.3,170.1,179,c
2368.5,1514.2,1448.6,1206.7,1948.6,413.1,1273.8,1612.8,359.3,475,b
2491.8,3014.8,2800.2,2246.2,2929.7,434.1,2090.1,2933.2,411.8,332,b
1779.5,935.2,1049.9,774.5,1434.5,1011.3,1086.9,1192.5,569.9,525.3,b
1439,723.5,1022.5,808,1206.8,431.3,953.6,1079,322.9,488.6,b
3162.1,5469.3,5155.7,4803.3,4395.9,66.8,3615.3,4828.6,82.6,217.6,c
3686.1,4516.9,3973.1,3870.3,3425.8,201.4,2433.8,3839.4,119.4,212.9,c
2066.2,3275.9,2937.9,2911.7,3025.3,146.1,2203.9,2988,45.8,166.5,a
1674.7,1661.2,1274.4,1072.6,1539.6,672.1,923.5,1215.3,533.7,389.6,b
3159.6,4680.6,4112.9,4026.3,3700.9,181.7,2835.2,3959,88.1,178.3,c
3597.7,4711.4,4162.4,4166.9,3922,264.8,2558.9,4038.1,155.9,230.7,c
2028.8,2818.8,2620.5,2022.7,2720.6,374.2,1989.4,2586.6,209,294.8,b
1993.7,2681.5,2469,2064.1,2385.1,559.1,1737.5,2264.5,148.9,252.2,b
1886.3,3037.5,2857.3,2277.9,2807.5,271.8,2081.7,2738.1,235.7,326.2,b
5954.5,5518.2,5057.7,6092.5,3525.1,243.6,2998.4,4834.2,136.4,152.4,a
1589.2,1073.9,1050.7,730,1275.4,434.6,825.7,1144,225,289.8,b
1439.3,947.9,898.5,780.7,1142.4,780.5,841.9,1035,714.5,520.5,b
2244.7,3397.9,3278.6,2590.7,3247.3,530.8,2541.5,3262.8,206.9,287.4,b
1639.1,954.4,966.6,690.4,1279.5,540.1,1023.6,1078.6,366.5,417.4,b
6596.6,8430.1,7559.3,7796.8,5701.7,202.1,4857.5,6062.6,88.2,117.6,a
3895.6,7052.7,6160.4,6354.9,4384.5,199.9,3935.2,3952.7,234.9,188.8,c
3031.1,6738.7,6458.4,7233.7,4471.5,279.2,4408.2,4459.4,163.2,183.9,c
7060.1,8645.2,7663,7994.6,4179.9,195.9,4029.9,6240.2,163.3,363.3,c
8241.1,8465,6161.4,9495,4256.3,252.7,4305.8,5207.4,246.8,205.1,c
3369.2,3806.7,3456.9,3119.7,3013.4,181.9,2298.9,2630.6,187.6,271.7,c
3627,7507.6,6057.2,6912.8,4539.5,232.1,1731.9,4622.3,124.3,226.7,c
