@relation dlbcl

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute class {a,b}

@data
955,1338,748,162,1206,14742,7578,1673,179,7502,a
1884,1024,1571,1258,2624,12641,11102,2990,424,16768,a
1488,1267,2883,1966,2752,12730,11284,1693,675,19206,a
1067,1007,1446,672,1095,9872,9979,981,238,10944,a
1272,1201,3065,294,2492,18742,4553,987,692,7238,a
2563,2001,2477,1412,2328,11217,13584,2818,436,17948,a
2408,3715,2801,88,3301,11148,21846,838,269,5420,a
1368,1243,1491,496,1374,1030,7898,1247,163,4063,a
4836,4326,3068,-79,4029,9841,7082,1819,310,6111,a
1603,650,1874,1685,1628,14099,12693,3429,445,18791,a
1135,1248,1642,-249,1563,6672,9058,832,314,2516,a
2046,1628,4298,3819,2977,9548,12199,1957,613,20067,a
4008,3282,3841,1070,3960,18187,15467,3318,520,18395,a
2620,839,1075,1534,876,9638,6328,2283,-57,16248,a
1012,298,979,2,296,2893,1643,708,-139,4372,a
4254,2477,2953,-150,1545,13992,9453,2222,538,7696,a
1663,519,1855,-116,875,8474,6233,1225,317,3266,a
1717,960,2550,48,1388,14990,10938,2756,471,7341,a
2737,1154,779,-151,3084,15606,9944,1856,163,4933,a
983,1006,2060,-114,484,10803,3439,1147,154,3122,a
888,428,2038,23,441,3001,2376,1663,-37,3997,a
1747,2247,2743,727,2502,20942,13967,2616,738,19155,a
1229,2005,3335,-52,1983,13342,1974,1096,492,5362,a
1186,1178,4738,102,1467,8834,4057,1561,475,6923,a
1354,789,2106,789,1616,9773,6312,1123,518,16564,a
890,275,1342,79,286,2675,731,750,-48,4160,a
942,367,2795,-180,878,7053,4739,2087,-40,4288,a
907,510,2912,86,1391,9173,4906,1406,228,7392,a
763,128,796,-162,112,2065,2092,317,-27,1820,a
1808,822,2838,191,1438,11160,5915,252,388,14028,a
3423,2503,2453,257,4281,17953,12238,2904,699,13995,a
920,724,1318,495,1000,14625,7900,1386,289,14388,a
6366,5670,4920,-325,3976,19721,14120,2755,811,5440,a
2097,768,2435,1478,2259,13418,12781,2151,381,18572,a
1464,1318,831,425,1942,6553,4342,590,14,4196,a
1620,601,1340,2520,1101,7207,6341,1251,238,20974,a
3194,2094,1690,472,2359,11245,7885,4199,784,7333,a
3674,3552,5734,796,3143,9245,13040,2318,778,7366,a
1085,477,1414,593,846,3713,6623,448,133,13423,a
1244,533,2334,173,679,6977,3307,676,224,6907,a
1281,633,4409,252,1309,7449,6984,1272,218,14160,a
1756,1377,4782,127,2116,12422,10368,1088,640,13954,a
637,871,980,-2,1216,13502,7279,1249,-10,5940,a
1935,1519,6844,1059,1450,6353,8894,1428,400,12324,a
857,542,1539,202,473,15958,5144,1960,165,6166,a
8259,2809,3861,67,7340,19547,13529,5927,459,14348,a
2524,1480,3268,-137,1631,7168,5842,1290,163,4505,a
2103,1255,3773,358,1663,12728,5486,968,377,8960,a
1945,1204,3436,124,2533,11115,10066,1194,451,7574,a
1503,1098,1369,135,1169,10522,6181,1258,273,8903,a
4138,929,1832,328,1847,13112,7323,760,603,14374,a
2803,3887,4054,194,3675,14119,10541,2690,963,8639,a
1154,1060,1150,1342,1514,9907,5249,1950,236,12166,a
1943,963,2051,-122,1755,5071,4480,1168,192,3013,a
2017,1794,1636,-25,1553,17268,8362,712,645,11085,a
1312,476,900,47,376,4228,2175,1018,-59,4621,a
1058,440,1731,275,1093,5376,4531,998,141,5852,a
2702,539,3157,1404,816,14154,7995,1695,180,21660,a
626,371,607,-149,889,3498,4290,1098,166,4381,b
435,303,1084,-238,269,2826,1486,666,-22,2278,b
1088,0,943,-437,-62,1707,1586,214,-254,1572,b
493,228,1465,-619,-33,2229,1430,-2,-322,1407,b
413,249,590,-207,281,2004,2565,687,-76,1378,b
1047,-8,339,-875,-21,2511,1244,0,-111,279,b
469,229,687,-190,232,1718,2003,525,74,5408,b
489,327,1369,-166,879,4705,2799,474,62,3681,b
589,486,933,-115,529,5076,2716,824,77,5289,b
927,497,1164,-172,580,4527,4652,603,68,3171,b
831,455,1233,-155,776,4628,2908,1101,158,5156,b
716,696,1905,-155,929,6756,4454,1060,334,3255,b
780,247,684,-186,352,1777,1707,626,38,2423,b
258,353,960,-104,961,4198,4700,1018,147,4022,b
676,256,690,-1,377,3145,1284,674,79,4017,b
438,-157,991,-552,353,1073,1809,532,-119,2014,b
622,360,941,-167,435,4340,2353,575,424,5055,b
196,302,1095,-175,341,2654,1355,382,87,3546,b
611,188,1004,-263,248,1082,596,54,-133,861,b
