@relation prostatemattest

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute class {a,b}

@data
28.6,58,38.5,188.5,524.8,24.9,113.7,51,63.5,28.8,a
21,87,115,183,787,61,456,137,96,23,a
-5,105,64,113,419,30,76,55,63,8,a
19,39,87,141,687,39,106,37,54,11,a
0,65,209,117,519,54,165,65,61,5,a
-3,36,242,118,330,70,252,70,71,9,a
27,81,4,125,441,1,133,53,56,14,a
18,46,142,152,778,30,221,46,55,23,a
-14,70,-5,82,588,4,64,58,66,8,a
-18,103,11,118,553,22,75,83,60,11,a
23,28,92,238,787,30,196,30,87,18,a
25,45,108,164,948,61,172,108,90,14,a
35,26,159,133,824,43,415,194,81,14,a
-19,103,5,134,641,81,57,16,47,5,a
8,56,119,134,1402,51,317,107,102,-8,a
-25,40,3,138,464,50,79,54,72,10,a
7,69,-1,99,547,42,60,58,66,-32,a
19,58,61,117,849,32,146,73,88,5,a
15,86,3,145,509,1,86,17,82,6,a
35,39,130,176,651,28,251,44,36,24,a
40,38,41,144,2168,62,424,4,60,51,a
12,56,5,107,498,32,62,62,75,7,a
16,66,81,149,872,43,222,67,68,26,a
16,41,117,130,698,28,246,58,63,8,a
23,26,161,194,897,46,149,17,125,35,a
17,26,95,135,364,27,89,40,91,30,a
26,42,90,158,1970,37,432,104,74,27,a
26,47,89,159,637,28,276,54,47,20,a
-7,115,1,80,421,12,44,13,48,21,a
18,15,72,213,628,30,302,60,62,24,a
13,22,114,151,784,33,359,86,63,8,a
281,113,31,207,246,29,10,9,48,54,a
106,13,37,177,1064,36,262,83,50,69,a
4,23,153,164,670,50,486,327,81,5,a
145,39,78,145,456,30,37,2,50,12,a
39,25,96,148,581,34,366,158,71,10,a
-6,32,197,159,1724,51,277,104,115,18,a
85,29,60,153,609,31,125,65,62,28,a
4,28,129,119,1086,41,970,50,65,-4,a
5,15,235,129,1057,43,297,93,79,3,a
29,18,159,134,1494,58,427,135,74,8,a
-142,29,-19,43,448,-30,85,102,177,-22,a
15,98,84,179,785,33,226,69,67,29,a
26,24,99,153,655,33,208,101,68,16,a
134,34,79,165,380,37,201,47,65,43,a
182,12,100,194,713,30,203,69,65,58,a
97,67,59,161,420,39,100,63,52,51,a
86,14,177,210,881,44,315,15,62,17,a
44,46,137,179,809,47,310,148,77,33,a
97,38,138,200,240,29,152,30,65,30,a
369,203,16,335,165,28,20,15,44,62,b
573,182,13,298,109,21,38,8,53,145,b
128,117,39,212,215,13,49,22,53,121,b
84,153,40,273,366,27,49,26,41,66,b
34,167,70,251,131,13,21,8,76,71,b
593,94,56,298,149,26,74,2,40,122,b
397,89,47,236,351,31,35,18,35,46,b
518,215,54,338,166,25,41,7,39,89,b
174,389,62,159,626,21,17,11,35,-2,b
149,421,43,236,429,23,30,9,32,20,b
186,168,50,219,411,23,60,8,68,48,b
115,109,37,211,340,5,55,27,47,1,b
264,207,38,318,205,13,36,11,48,92,b
73,85,8,169,499,12,52,54,56,16,b
313,215,31,370,322,11,29,23,40,56,b
375,152,30,289,350,19,42,26,38,81,b
34,379,8,197,218,24,24,-1,45,76,b
8,96,71,123,414,33,62,10,49,2,b
120,112,34,178,347,31,60,-8,55,42,b
376,187,16,256,264,23,51,28,56,66,b
184,223,28,274,267,22,42,18,50,101,b
193,104,67,167,380,29,31,5,42,47,b
264,96,40,238,180,25,36,11,49,86,b
363,253,26,233,275,13,32,7,42,36,b
319,351,35,244,468,34,76,11,45,96,b
373,159,33,243,289,2,21,7,34,62,b
354,317,21,262,237,22,33,8,56,128,b
569,184,33,329,145,18,16,4,54,75,b
211,135,57,255,414,22,84,20,47,69,b
82,137,56,201,479,20,64,7,46,43,b
26,139,36,174,379,7,103,29,77,15,b
191,115,45,249,287,19,55,5,65,70,b
339,86,10,256,190,26,27,11,42,100,b
9,46,231,168,439,25,182,85,66,2,b
469,185,25,261,326,16,25,6,38,80,b
105,207,36,255,350,30,23,6,39,52,b
772,234,15,257,126,15,15,7,27,37,b
348,138,42,252,263,24,30,5,41,44,b
212,130,84,288,167,21,41,11,58,39,b
161,63,60,206,420,39,58,8,47,35,b
307,242,47,378,174,17,28,4,58,86,b
3,80,15,101,384,6,106,28,77,-7,b
253,139,85,217,276,31,73,4,47,56,b
513,254,45,384,135,26,34,2,38,91,b
71,79,67,178,295,15,95,7,47,28,b
267,103,40,266,346,19,58,4,41,59,b
385,164,51,345,297,26,27,10,41,75,b
668,230,17,261,70,35,20,12,46,80,b
233,163,113,224,389,31,85,6,46,20,b
190,249,12,373,65,17,21,10,36,77,b
288,243,86,280,467,32,61,5,60,48,b
415,215,24,265,141,22,27,8,78,99,b
