0,1,2,3,4,5,6,7,8,9,class
28.6,58.0,38.5,188.5,524.8,24.9,113.7,51.0,63.5,28.8,a
21.0,87.0,115.0,183.0,787.0,61.0,456.0,137.0,96.0,23.0,a
-5.0,105.0,64.0,113.0,419.0,30.0,76.0,55.0,63.0,8.0,a
19.0,39.0,87.0,141.0,687.0,39.0,106.0,37.0,54.0,11.0,a
0.0,65.0,209.0,117.0,519.0,54.0,165.0,65.0,61.0,5.0,a
-3.0,36.0,242.0,118.0,330.0,70.0,252.0,70.0,71.0,9.0,a
27.0,81.0,4.0,125.0,441.0,1.0,133.0,53.0,56.0,14.0,a
18.0,46.0,142.0,152.0,778.0,30.0,221.0,46.0,55.0,23.0,a
-14.0,70.0,-5.0,82.0,588.0,4.0,64.0,58.0,66.0,8.0,a
-18.0,103.0,11.0,118.0,553.0,22.0,75.0,83.0,60.0,11.0,a
23.0,28.0,92.0,238.0,787.0,30.0,196.0,30.0,87.0,18.0,a
25.0,45.0,108.0,164.0,948.0,61.0,172.0,108.0,90.0,14.0,a
35.0,26.0,159.0,133.0,824.0,43.0,415.0,194.0,81.0,14.0,a
-19.0,103.0,5.0,134.0,641.0,81.0,57.0,16.0,47.0,5.0,a
8.0,56.0,119.0,134.0,1402.0,51.0,317.0,107.0,102.0,-8.0,a
-25.0,40.0,3.0,138.0,464.0,50.0,79.0,54.0,72.0,10.0,a
7.0,69.0,-1.0,99.0,547.0,42.0,60.0,58.0,66.0,-32.0,a
19.0,58.0,61.0,117.0,849.0,32.0,146.0,73.0,88.0,5.0,a
15.0,86.0,3.0,145.0,509.0,1.0,86.0,17.0,82.0,6.0,a
35.0,39.0,130.0,176.0,651.0,28.0,251.0,44.0,36.0,24.0,a
40.0,38.0,41.0,144.0,2168.0,62.0,424.0,4.0,60.0,51.0,a
12.0,56.0,5.0,107.0,498.0,32.0,62.0,62.0,75.0,7.0,a
16.0,66.0,81.0,149.0,872.0,43.0,222.0,67.0,68.0,26.0,a
16.0,41.0,117.0,130.0,698.0,28.0,246.0,58.0,63.0,8.0,a
23.0,26.0,161.0,194.0,897.0,46.0,149.0,17.0,125.0,35.0,a
17.0,26.0,95.0,135.0,364.0,27.0,89.0,40.0,91.0,30.0,a
26.0,42.0,90.0,158.0,1970.0,37.0,432.0,104.0,74.0,27.0,a
26.0,47.0,89.0,159.0,637.0,28.0,276.0,54.0,47.0,20.0,a
-7.0,115.0,1.0,80.0,421.0,12.0,44.0,13.0,48.0,21.0,a
18.0,15.0,72.0,213.0,628.0,30.0,302.0,60.0,62.0,24.0,a
13.0,22.0,114.0,151.0,784.0,33.0,359.0,86.0,63.0,8.0,a
281.0,113.0,31.0,207.0,246.0,29.0,10.0,9.0,48.0,54.0,a
106.0,13.0,37.0,177.0,1064.0,36.0,262.0,83.0,50.0,69.0,a
4.0,23.0,153.0,164.0,670.0,50.0,486.0,327.0,81.0,5.0,a
