0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,class
-36.6,18.3,-37.7,628.2,16.4,3.3,15.0,428.5,92.8,18.9,-73.8,20.9,4.7,54.5,7.3,38.7,6.6,155.8,17.4,-27.4,20.7,-6.8,18.3,23.7,-22.9,6.2,1052.5,4549.3,-32.5,1.3,-45.4,138.8,124.9,382.1,160.2,3.2,-6.7,76.0,292.4,-33.0,-97.4,-26.1,37.9,-11.0,213.0,139.9,-14.7,95.8,129.8,722.5,895.8,-10.4,58.0,107.9,0.0,157.8,24.4,706.8,9.5,638.4,83.0,7.0,-30.1,224.5,13.8,475.7,6.2,56.9,6.7,-6.6,46.8,-9.9,202.3,1701.2,25.3,102.6,117.5,-5.3,-26.1,127.2,6.8,46.4,5.3,3.7,104.7,370.9,29.0,154.4,-17.2,-65.7,688.6,96.3,88.2,202.9,57.7,92.3,21.0,7.8,234.4,-33.7,a
-36.8,37.9,-6.4,293.0,24.4,0.7,5.9,407.8,105.1,16.5,-59.6,25.4,2.9,12.0,-4.8,47.2,-3.3,229.1,10.8,-34.5,-10.9,32.4,22.3,11.8,87.4,20.5,944.6,1658.7,-42.2,-10.8,-24.6,110.0,54.4,410.6,186.1,2.2,-4.8,47.4,187.5,-30.6,121.2,-33.7,52.1,22.4,142.3,77.3,-23.3,63.8,145.6,624.3,922.8,16.7,136.5,105.4,1.9,103.1,41.4,1239.1,27.7,663.0,98.4,21.6,-31.0,190.1,11.6,571.7,-18.1,64.9,-3.2,0.5,36.1,-4.3,254.4,1445.2,7.7,102.3,90.0,1.6,-66.4,96.1,14.5,-1.8,-19.6,-6.3,199.7,389.3,14.7,142.3,-11.2,-17.2,665.1,62.7,48.5,273.9,72.9,64.3,47.8,4.5,188.8,-8.1,a
-34.7,33.9,-49.3,497.8,11.7,18.1,5.6,420.2,47.5,27.1,-101.5,32.7,6.9,38.6,16.6,43.7,10.4,101.0,6.5,-24.0,48.3,1.9,34.5,10.0,-45.6,50.8,1851.4,4634.3,-43.3,-1.9,-16.1,101.5,53.2,386.5,228.3,25.6,-20.7,26.9,251.6,-50.7,-160.1,-17.9,-14.1,-4.5,189.8,73.7,-9.7,66.3,319.6,640.0,906.7,9.5,128.6,105.0,1.3,89.3,26.0,982.3,8.6,302.1,97.0,14.9,-50.7,105.0,-8.2,291.6,6.4,11.4,4.2,16.3,31.8,-8.4,204.0,1897.8,7.5,49.8,214.2,3.4,-142.5,89.1,4.2,59.4,116.2,-2.8,84.3,285.9,29.0,159.9,-55.2,-128.2,400.3,75.7,43.5,135.2,86.5,46.2,23.4,13.0,99.7,-27.4,a
-45.8,28.4,9.9,277.5,31.4,3.8,14.1,629.7,98.9,-6.1,-216.5,20.1,-3.9,41.3,6.2,57.5,31.5,133.6,18.9,-59.9,-14.1,32.9,22.6,7.2,88.0,73.3,2087.6,2342.8,-36.2,-1.8,-17.8,78.2,31.1,251.9,177.7,27.4,-9.3,16.3,304.1,-74.7,60.3,-19.6,-14.2,-17.7,207.8,77.4,-31.2,38.2,530.5,668.3,1117.2,-5.0,11.0,134.2,-3.0,219.6,20.2,1352.3,5.8,344.2,118.2,20.2,-45.5,223.7,-4.8,340.5,-3.6,61.1,-3.8,2.7,-31.3,-4.6,121.9,1137.8,7.9,62.0,125.5,12.0,-214.0,47.6,-0.9,29.7,181.8,0.0,260.1,268.3,23.9,16.5,-43.9,-114.8,401.6,78.1,34.8,190.2,57.6,102.5,50.5,14.6,248.3,-45.6,a
-47.1,38.5,3.5,516.7,30.1,2.7,1.4,426.9,82.9,18.9,-120.0,32.8,7.0,26.7,-18.6,56.4,31.8,298.5,23.3,-51.0,63.3,-8.3,56.3,20.7,102.2,5.2,1774.2,4182.3,-28.9,-25.7,-28.2,99.5,59.3,318.9,218.5,10.0,-11.8,27.1,275.4,-12.5,-38.7,14.9,-1.1,51.7,188.1,79.9,-16.6,37.2,133.1,821.6,1177.0,6.3,193.1,136.5,-1.1,123.7,144.9,616.1,-5.1,351.9,128.5,20.4,-54.4,131.4,-2.9,433.4,-0.7,-19.2,-3.7,-7.3,2.8,0.6,184.6,1717.7,2.6,132.9,79.6,19.8,-173.0,117.0,4.5,25.7,125.3,15.2,78.5,289.3,39.6,2.3,-45.1,-133.4,496.4,76.3,52.2,72.6,102.1,36.1,48.6,6.1,232.4,-28.4,a
-39.8,15.6,24.0,591.4,14.3,6.2,7.9,566.0,64.2,47.2,28.2,51.1,6.5,32.8,11.3,35.4,11.2,195.8,22.9,-82.6,95.2,4.9,18.9,74.7,81.4,142.6,1758.9,3509.6,-54.3,16.0,-35.0,79.6,104.1,193.9,148.9,8.6,-1.0,25.6,309.0,-45.1,62.2,-13.3,-16.4,-4.4,165.1,82.3,-27.8,55.7,150.7,933.3,1114.7,1.5,165.3,160.7,1.9,230.1,58.8,785.8,-6.2,342.3,216.2,107.3,-75.6,268.6,20.8,630.8,-30.7,105.0,3.4,-3.9,31.4,-2.4,96.2,2405.7,8.7,104.5,136.0,14.9,-224.7,149.7,6.2,21.2,139.4,4.1,244.5,264.2,22.3,33.6,-27.4,-128.9,406.6,75.8,50.4,53.7,152.4,150.9,59.0,14.6,192.1,-2.3,a
-37.2,39.6,34.3,225.8,11.7,10.3,-1.1,488.3,44.9,54.9,-125.8,32.4,60.6,69.7,0.3,58.2,45.6,143.6,24.0,-11.7,17.7,17.6,23.0,6.8,86.8,125.0,1932.2,2138.1,-40.5,16.3,-42.7,72.5,81.9,259.1,221.4,14.3,-2.4,52.8,200.8,-17.7,87.1,-25.5,-28.0,21.4,126.5,106.4,-12.0,111.9,79.8,479.0,1128.7,2.6,105.0,180.8,-1.1,134.8,52.1,639.5,19.0,411.7,112.0,-1.5,-32.4,139.7,-10.8,349.8,-9.3,30.6,-5.1,-4.3,36.0,-10.9,282.4,1725.5,26.7,84.3,223.5,2.4,-138.0,207.7,2.1,153.3,131.3,4.8,152.6,289.0,15.6,180.6,-12.3,-89.6,542.9,72.8,55.1,186.0,85.3,154.4,35.1,-1.6,179.1,-12.6,a
-63.5,-1.3,-42.6,384.9,24.9,23.2,-9.6,342.1,25.0,30.5,-283.3,31.3,4.3,40.0,-24.6,19.8,2.6,70.4,-5.8,-85.9,127.5,14.7,25.6,-6.4,14.3,96.3,1785.1,5879.6,-43.1,-27.6,-43.7,126.3,16.6,429.2,245.1,19.6,-2.6,4.6,197.6,-25.4,-190.3,-28.1,-29.7,5.2,170.1,78.7,-13.6,57.8,269.2,658.6,1001.9,6.0,-43.2,134.2,-10.8,152.4,12.2,1312.9,-5.2,426.6,108.0,16.0,-73.5,96.4,-25.5,103.5,6.9,17.5,-6.8,8.5,-27.6,-10.2,173.5,1909.5,8.8,64.2,137.3,-2.0,-94.9,14.1,3.9,31.4,108.8,-0.1,11.5,357.5,-1.1,114.5,-43.3,-151.7,533.7,88.8,45.3,131.7,49.5,60.1,15.1,3.1,266.5,-10.4,a
-80.9,34.0,-52.3,296.2,23.5,6.4,0.7,403.3,72.1,45.7,-180.3,20.1,5.6,66.5,4.6,58.2,59.7,128.8,8.1,-35.3,32.9,32.6,23.2,12.8,9.5,-15.6,1516.2,2029.8,-56.9,-4.6,-30.7,108.7,64.0,390.1,227.6,26.7,-6.1,48.7,243.7,-52.8,-171.1,-30.4,-0.1,2.3,205.6,47.4,-10.0,67.7,628.3,543.7,613.1,27.8,73.1,132.8,-1.6,147.4,32.2,841.4,5.8,542.0,92.1,16.1,-48.0,150.4,-14.0,218.3,4.8,7.0,-2.8,-0.9,13.8,-0.6,200.4,1643.2,42.2,16.1,84.4,1.9,-74.2,190.9,19.8,38.9,38.7,-2.2,101.4,270.6,18.8,235.1,-32.1,-56.4,594.6,74.1,85.3,142.4,78.6,34.8,25.3,3.8,154.6,-13.8,a
-51.1,21.9,-2.0,166.9,21.7,12.3,12.2,498.8,40.0,77.5,-156.6,41.8,71.9,112.0,-5.1,46.2,84.1,187.1,-0.9,-39.4,44.3,-6.3,30.4,13.9,16.6,38.2,1255.0,-149.8,-61.5,13.4,-34.7,96.1,49.9,336.9,395.6,24.9,-10.3,67.8,326.9,-3.8,-221.6,-41.4,-15.7,17.1,148.0,125.3,-17.3,185.5,57.7,467.9,933.5,47.1,90.4,140.8,-13.1,191.1,38.2,927.4,19.4,281.4,113.1,13.2,-60.6,41.6,-40.2,212.6,1.3,1.0,1.2,3.3,22.3,-23.0,328.0,1280.4,37.8,96.8,281.2,3.3,-256.0,135.9,13.7,286.1,80.8,2.4,46.8,242.3,14.3,362.9,-39.0,-177.3,916.3,129.3,90.4,195.0,91.7,242.9,8.9,0.3,163.8,-41.9,b
