@relation Leukaemiamattest

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute 55 numeric
@attribute 56 numeric
@attribute 57 numeric
@attribute 58 numeric
@attribute 59 numeric
@attribute 60 numeric
@attribute 61 numeric
@attribute 62 numeric
@attribute 63 numeric
@attribute 64 numeric
@attribute 65 numeric
@attribute 66 numeric
@attribute 67 numeric
@attribute 68 numeric
@attribute 69 numeric
@attribute 70 numeric
@attribute 71 numeric
@attribute 72 numeric
@attribute 73 numeric
@attribute 74 numeric
@attribute 75 numeric
@attribute 76 numeric
@attribute 77 numeric
@attribute 78 numeric
@attribute 79 numeric
@attribute 80 numeric
@attribute 81 numeric
@attribute 82 numeric
@attribute 83 numeric
@attribute 84 numeric
@attribute 85 numeric
@attribute 86 numeric
@attribute 87 numeric
@attribute 88 numeric
@attribute 89 numeric
@attribute 90 numeric
@attribute 91 numeric
@attribute 92 numeric
@attribute 93 numeric
@attribute 94 numeric
@attribute 95 numeric
@attribute 96 numeric
@attribute 97 numeric
@attribute 98 numeric
@attribute 99 numeric
@attribute class {a,b}

@data
42,-208,21,122,75,556,1965,161,1271,3767,1215,2018,610,-2,1173,459,-4,571,5418,3282,3221,-44,365,56,330,261,303,2187,3863,140,3828,98,5565,654,835,1410,435,468,-88,-283,959,2150,767,4778,83,782,268,-219,958,9326,71,399,215,273,2191,44,1298,1124,148,160,177,-267,3016,242,524,631,1372,427,659,14511,124,298,554,600,49,26,1656,-167,8444,5191,3105,1584,398,1284,1372,13394,196,2911,601,-70,-231,774,683,2323,382,557,1320,174,172,1582,a
82,334,82,227,129,476,198,588,3622,2890,2424,650,927,100,1948,141,1134,2893,17348,1627,10954,52,624,-29,811,101,1358,6,511,49,3021,822,5318,1283,3072,2325,286,1121,109,-65,567,-512,814,2700,921,368,346,-317,926,895,335,252,134,289,784,146,1379,1062,158,204,3460,421,3424,667,1074,739,1184,306,498,-16,520,307,1555,337,-13,20,-10,88,1920,9,1118,6035,908,540,1585,13249,2120,575,435,364,322,180,121,1238,3606,2716,898,309,1568,624,a
-3,-386,-18,272,44,498,579,207,1739,5996,1253,573,1697,-5,1048,467,232,2723,6156,2783,16529,-116,108,-109,212,309,254,5,1952,278,7247,223,2584,1286,609,2789,623,595,-53,-395,1137,-1046,1547,4926,58,1268,804,-116,812,628,-22,1588,101,164,2529,110,1496,1398,247,51,416,-1046,7724,419,485,106,2221,242,554,-206,232,309,1052,574,148,90,-91,108,3118,11,4543,10435,906,236,747,15733,967,905,547,-208,-452,1156,120,1982,2997,1716,597,226,319,753,a
101,366,114,46,218,1211,4881,82,2252,2810,1219,2291,425,-27,763,272,55,731,7070,1544,5364,70,873,-62,584,288,-304,123,6127,171,3780,109,11689,915,935,1132,409,527,-111,-367,935,1624,831,5403,483,882,452,1440,907,5314,146,27,244,483,2336,86,1401,942,116,239,392,5,3821,-100,370,352,1051,262,902,5207,21,693,696,716,42,-13,166,14,4261,1834,5467,-45,763,786,2358,14004,173,2038,472,34,-297,-52,605,3947,1331,1143,1644,151,238,743,a
80,408,128,449,110,820,3383,337,3015,2206,1390,2796,529,51,2197,409,1093,649,9017,1896,2837,151,686,938,1018,395,-86,95,2547,618,3563,409,10308,732,1665,1269,216,1125,139,290,582,2986,1423,3440,1385,949,476,2370,1447,5354,1192,331,240,914,2824,104,1894,928,243,360,7972,484,5216,918,1242,2028,1370,366,880,5994,216,713,755,524,28,45,405,-3,3425,1178,3469,1583,201,968,1985,13899,802,1871,661,218,302,382,606,3324,3069,2917,1322,672,1081,626,a
122,200,58,51,33,485,3,200,1257,3881,947,405,1682,-19,179,106,-56,1858,6221,2372,16135,-14,302,88,206,58,1168,51,1804,90,4890,264,2647,691,499,1854,279,538,46,-40,695,-508,430,3179,-3,910,256,-165,677,282,81,439,64,376,1691,10,528,842,106,-56,597,-743,4194,321,736,17,1306,81,312,-220,-140,247,1033,270,51,-19,-14,160,1790,28,3309,10205,620,368,887,17474,1984,634,337,401,-10,236,46,1710,2850,3300,787,353,1036,1157,a
35,381,84,124,115,734,1507,55,1083,3723,697,1829,386,-21,1829,546,272,280,4746,613,6067,18,325,-78,655,84,-233,221,1129,131,3330,5,9428,853,764,2735,586,554,-77,-366,989,1198,764,3978,488,826,208,1312,951,5146,28,-38,166,184,1591,105,1747,1066,243,85,403,-189,5528,-220,811,245,1339,179,873,-104,-151,52,322,463,21,31,-11,45,3810,84,3936,307,672,344,478,17668,221,2364,309,255,-194,944,988,1488,1201,830,946,114,186,552,a
-37,-215,107,52,32,223,1248,121,1628,4072,655,2497,629,116,253,311,376,1716,7881,4066,3103,-38,244,-257,-187,251,-247,85,1412,-95,4213,-169,4742,1238,1323,1962,335,608,-214,-656,809,1797,752,3293,-142,1302,310,-214,967,4048,-55,196,145,232,1721,104,1514,1668,185,61,140,-247,2073,-215,371,281,655,295,818,9682,145,-215,1130,689,-40,-47,524,-17,6153,4084,4745,233,1478,-196,1061,16114,130,1409,263,-100,-320,1314,419,2215,1947,1683,1917,122,40,572,a
-44,-322,0,539,9,686,41,127,3123,7439,4641,1204,2760,88,246,660,100,2388,9431,1391,15235,-46,273,-35,1176,155,336,-4,5817,342,7230,320,5522,822,1741,2900,516,1082,94,-231,700,-597,1777,7324,1240,1337,640,487,1052,423,0,2779,68,890,3332,103,803,966,119,101,848,-548,7782,691,1002,621,3593,320,312,-118,99,-223,2042,262,86,98,-4,620,3303,76,4081,11375,1184,310,5668,12878,1709,644,978,521,-57,825,272,3420,2629,1965,1440,48,2414,1776,a
-1,36,1,186,54,721,365,272,1723,4791,795,324,1722,38,414,51,194,913,5092,972,8982,16,144,392,100,167,498,-35,769,113,5052,128,3093,885,1188,1855,288,409,45,-36,532,-521,426,2676,254,82,152,-231,1250,585,59,550,48,487,770,64,1939,1175,115,68,1094,-408,5204,320,711,381,1058,186,586,-93,265,492,1355,167,-10,43,-26,44,1329,50,1658,10110,1142,260,1763,14366,414,358,752,-169,19,948,79,723,2148,1781,442,282,872,756,a
23,-163,-1,329,38,551,39,37,2294,4406,1350,264,1587,65,233,73,29,2147,6027,780,8630,-3,34,16,164,140,-376,-124,1704,74,3352,-1,4194,680,1870,1471,312,633,40,-152,540,-565,472,6134,851,737,441,-410,872,147,100,2178,57,942,703,93,587,626,127,62,1343,-504,6541,140,366,373,953,351,605,-182,-55,-25,1264,174,36,27,66,163,2525,50,2853,5598,615,210,2685,12942,272,500,897,-276,-233,579,117,703,969,833,617,215,217,1972,a
45,448,99,58,7,198,712,306,1704,1379,1691,472,169,63,411,70,646,140,15280,2433,1695,191,399,1452,446,287,107,-80,363,28,2290,524,4101,412,1030,1763,298,633,267,41,475,676,76,2056,712,1296,90,-60,1093,2504,-2,-27,132,538,438,33,1347,747,73,474,5252,-159,846,879,362,626,209,123,212,278,478,408,300,258,51,12,44,-89,1277,94,551,639,889,146,1638,11361,-99,1119,334,252,-122,-110,21,672,3939,4009,474,135,51,219,a
32,-102,31,544,103,550,7509,44,1834,6964,887,1591,719,104,717,502,711,556,6183,9811,4765,-4,281,22,196,152,-97,351,1515,221,4751,-4,7747,548,1482,786,263,991,70,-104,594,2827,920,10669,409,160,545,1122,1075,5075,-4,316,466,523,2804,61,1489,706,83,292,2408,495,7743,200,973,712,1624,218,1855,6654,124,724,540,201,-8,23,530,0,6216,4640,4746,5125,875,825,822,13410,660,1473,668,4,-184,690,645,3260,210,93,1969,111,691,1322,a
73,153,71,339,72,694,26,328,1969,2056,2764,999,859,0,1022,346,355,1483,13077,257,3529,14,589,93,1216,145,820,-146,3854,5,2346,1361,3076,1157,892,2337,377,623,136,-140,676,-472,606,1912,88,838,570,421,553,155,292,1267,85,644,1661,986,1784,864,123,34,2525,-298,1756,946,878,800,2050,217,563,-40,232,360,145,180,74,18,0,-157,3382,142,1534,2653,453,513,4194,12669,2327,408,265,493,694,100,214,5964,3633,3576,686,236,2555,732,a
-36,195,46,281,158,1287,5394,128,2602,3688,969,2352,661,50,2320,927,745,1505,8506,6270,9000,35,854,333,664,81,76,726,4436,555,3347,132,10614,387,1306,2035,179,1079,135,-198,355,2748,1417,9211,789,520,571,1481,1057,5767,140,241,324,999,3548,46,2286,515,70,153,2133,818,7288,408,933,704,1995,315,1396,14812,108,938,1130,625,-27,26,443,83,5831,4512,5311,1717,751,440,3420,12420,983,2239,898,114,-199,444,912,6147,735,637,2572,159,1805,1636,a
90,9,-27,216,28,475,3809,133,2337,2976,787,2576,1034,65,734,273,393,904,3720,6845,10227,-34,289,3562,295,202,36,643,2206,227,3207,90,6737,707,593,1910,353,651,18,-102,723,2335,869,3345,367,478,235,1101,871,3649,74,57,141,302,3456,30,944,825,68,86,1232,-311,6084,-14,467,537,1625,239,1696,811,53,848,45,330,45,78,1016,94,5617,4178,4326,512,192,94,7430,13995,248,1981,666,-91,-42,763,1198,3774,637,635,1439,281,801,2076,a
-66,192,586,145,117,883,-68,71,1993,3182,1284,1875,447,336,942,276,590,643,12676,1234,8469,1214,534,1441,1080,286,375,-260,754,53,6633,184,4371,1822,2376,4215,311,2028,184,-158,599,-660,2031,2360,3786,7,352,-292,5157,218,0,82,159,1055,2128,3107,1888,1837,213,1136,1150,400,2455,2127,1647,648,3139,403,704,-159,235,926,2084,784,1,84,-161,-102,3714,74,7155,4639,852,3755,1300,13288,4348,409,374,78,-91,288,710,3511,973,817,989,811,2377,917,a
