@relation MLLmattest

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute 55 numeric
@attribute 56 numeric
@attribute 57 numeric
@attribute 58 numeric
@attribute 59 numeric
@attribute 60 numeric
@attribute 61 numeric
@attribute 62 numeric
@attribute 63 numeric
@attribute 64 numeric
@attribute 65 numeric
@attribute 66 numeric
@attribute 67 numeric
@attribute 68 numeric
@attribute 69 numeric
@attribute 70 numeric
@attribute 71 numeric
@attribute 72 numeric
@attribute 73 numeric
@attribute 74 numeric
@attribute 75 numeric
@attribute 76 numeric
@attribute 77 numeric
@attribute 78 numeric
@attribute 79 numeric
@attribute 80 numeric
@attribute 81 numeric
@attribute 82 numeric
@attribute 83 numeric
@attribute 84 numeric
@attribute 85 numeric
@attribute 86 numeric
@attribute 87 numeric
@attribute 88 numeric
@attribute 89 numeric
@attribute 90 numeric
@attribute 91 numeric
@attribute 92 numeric
@attribute 93 numeric
@attribute 94 numeric
@attribute 95 numeric
@attribute 96 numeric
@attribute 97 numeric
@attribute 98 numeric
@attribute 99 numeric
@attribute class {a,c,b}

@data
-79.2,1273.6,11917.7,17133.3,1019,1682.7,3664.6,1064.7,10358.4,4260.6,6235,6104.3,765.2,15880.4,1581,581.6,28.4,637.7,1198.5,5813.4,1240.2,5395.7,1586,459.1,10009.5,574.2,649.9,1301.8,8280.1,8701.6,2493.2,6428.7,3055.2,956.7,2849.9,5773.4,1702.9,1207.8,2273.2,-380,6159.3,2506,1830.1,631.4,536.6,2521.3,279.1,-71.4,783.6,40.1,1668.4,2023.1,1217.5,-111,1071.5,4103.4,76.7,2734.5,4788.7,4470.6,1825.6,1669.2,2045.2,18639.7,17554.4,14632.3,408.7,3994.1,5542,-42.2,8242.6,2821.1,4483.8,18531,29291.8,1093,5070.2,294,4950.5,2417.3,160.9,3109.8,2061.6,1222.3,9727.4,6045.6,101.8,2443.6,4481.8,15467.9,9452.4,611.5,3962.3,11899.3,1790,715.8,569.5,5762.3,14650.4,2862.5,a
-11,3667,11523,22095,535,4313,2481,2562,10999,4907,3842,19913,827,20335,1143,989,416,2198,1484,10269,1668,7799,769,451,10894,426,1296,3134,12104,8390,3294,5836,3019,651,3917,19084,2965,2206,1575,-8,10279,968,2698,1765,1493,4678,2918,-269,1585,588,1629,5041,1031,1225,4636,3407,48,2574,6873,6205,1607,1353,4226,15825,18596,6855,641,3790,9464,27,11743,5091,7010,19789,30217,764,8880,260,8112,4224,48,5566,1875,332,12765,13252,123,3368,7226,14835,8107,372,14207,18691,1741,1732,448,8657,13881,3776,a
-71,46,2374,14686,719,4257,715,2489,2006,746,1149,9192,821,2423,1311,57,-129,349,521,4902,714,2606,190,197,1730,446,355,548,1257,3842,2194,2319,1495,247,591,2892,2107,1200,1301,-418,87,1422,1341,-395,334,1033,239,-236,369,-167,1393,961,531,92,1822,736,161,1222,3863,928,455,1166,488,13956,11005,4344,-143,9499,864,429,1826,470,1899,6718,17475,1098,1925,335,13982,671,109,774,2718,964,5942,2656,67,2399,1950,4416,3600,-1508,2608,3461,422,80,234,6102,5536,1319,a
109,1330,13125,19006,1936,3075,1280,3241,3542,1769,8709,25188,510,20775,2647,471,61,1386,698,5367,1185,6765,1884,250,6085,76,1189,3602,4307,7207,5166,4568,4323,507,2593,3582,7773,2796,1692,64,9210,1082,6406,1291,457,4341,3781,-331,1302,410,1080,4774,779,1908,2431,786,80,1787,5550,6769,2650,1822,1829,19978,17789,5995,-375,5429,6503,-62,4540,2392,7570,12524,30692,381,3730,17,7702,1152,720,2638,2367,99,6033,11515,167,3633,9181,16349,7919,-669,3163,5753,298,463,-303,8506,13408,2926,a
-146,1715,9363,24762,761,1634,1148,1925,2363,4122,7685,9773,1538,22301,1435,298,-91,-631,1637,5416,682,4952,127,265,5258,411,1069,3810,2025,6462,2470,4136,2671,557,3894,3817,1223,991,599,-115,5513,965,7465,159,338,1918,974,-96,727,-149,1663,3766,46,17,2386,3025,166,3496,9112,10699,388,1126,1802,20831,18632,4731,687,4792,4608,36,6599,6236,2937,21274,16716,1102,3096,331,6703,1620,180,3347,1499,2743,4484,7486,189,1745,8046,20824,7254,3653,3042,14747,1660,1221,2003,6016,5817,6354,a
-37,3240,9061,24512,775,5019,2024,2326,8181,1950,4733,12782,948,22521,1550,660,135,1170,2307,8040,2304,4814,1756,162,5418,-293,1121,-159,7357,9504,2936,7222,3856,761,3104,22033,1938,1446,1088,-28,13944,772,1795,982,1009,3135,2032,-265,1233,-143,1101,4756,1566,2578,2754,2151,234,2187,4438,4440,1982,1020,1917,20191,17479,11160,183,3089,4941,32,10242,5571,4351,22231,30664,550,6034,345,8225,2062,-40,2639,1504,1022,6720,12742,134,2742,9995,9304,6354,-851,18983,15645,1421,1360,558,8480,14513,4808,a
-181,1615,13229,22307,1337,4190,2002,2848,8134,9279,6602,4637,1145,24855,2359,638,193,669,304,5836,1717,3834,2234,370,6971,1325,2273,2167,14592,11371,2611,8060,2020,290,2758,13995,4024,2385,1226,-186,10307,3365,2555,960,948,3500,387,-78,1248,57,1978,3271,2173,19,3069,4509,296,7460,13886,10250,3017,2505,2640,20016,20635,21592,1484,8081,4451,45,11019,3397,2834,20350,24825,706,8132,278,12850,5246,34,6466,1839,1112,10401,6393,90,2919,7802,19437,9789,4703,11529,14375,1116,1616,771,10323,16957,3168,a
-547,2374,7048,27620,508,2870,1461,2557,5714,5022,4537,7677,2156,21399,2495,586,60,750,1834,5886,1596,2946,1683,421,6113,-16,781,-56,13382,11352,2952,4562,1518,220,2638,10182,4513,2089,734,-412,10423,1583,3247,768,604,3113,263,-284,1191,10,1434,2320,1747,1603,3286,3560,117,3698,8449,10485,1784,1814,2132,21114,19394,16900,456,5863,5766,1058,7726,7811,2760,18337,16434,312,7298,607,11271,4414,172,3532,1626,1432,8238,8572,183,2769,4738,18321,8758,1117,9779,10973,1547,1309,637,9638,15170,5568,a
-92,1497,10111,13195,288,11396,619,9768,2208,2891,10261,2128,999,29683,1825,1691,646,1589,210,4636,3776,3914,417,271,5003,-148,962,3446,1763,15337,30229,7796,1723,470,1829,2578,2002,1851,1366,-159,3212,896,2493,344,2203,5602,183,-73,1054,48,1249,3574,1658,569,2709,4412,512,944,4753,4917,275,5113,1238,20166,22165,1599,622,3181,3868,85,2977,3286,3476,11457,14021,577,4916,419,9333,2039,115,3734,893,1113,9133,8268,62,2827,3664,7822,8903,-130,3268,22704,1113,1069,2280,7686,18762,4000,a
-306,3600,8282,26385,2617,2571,1518,1712,2008,3578,14075,11600,1167,21932,2685,703,421,2180,1303,6245,1728,10235,267,103,11724,13,1423,6192,3311,6645,4989,5843,3699,782,6587,6404,2073,2270,790,-226,5560,612,3332,842,1612,5083,4958,-135,1565,-260,1534,4617,2096,2830,2703,2472,179,3280,4525,6243,1750,1628,2557,21010,21027,6528,860,8466,7238,189,6201,4200,4246,15486,24729,685,5256,131,5862,1504,38,3824,1034,5876,9096,16360,462,2839,8883,6895,7230,-1569,6646,18527,1097,1350,-111,7508,7968,5668,a
-97,1255,9378,20930,1616,3864,1912,2802,9155,10996,6540,5771,1228,21286,2555,676,328,862,20,8536,2148,7880,1390,576,7602,7,969,8289,19587,13195,4779,6657,2281,641,2268,18174,4679,3158,1112,-48,10554,3571,3172,999,1281,5104,697,-237,1456,-188,1748,6474,1419,113,5325,3656,141,6951,11718,14000,3512,1617,1590,17829,20579,19573,1432,6899,7458,1483,7265,7834,3576,21226,22290,1813,4125,394,11837,3923,232,4912,3361,-322,13890,10966,384,4625,9288,16389,13334,1751,15351,9851,1553,1307,810,12799,16363,2326,a
95,864,11770,22964,796,2142,795,819,3198,1169,12135,15980,687,22447,1523,240,80,907,933,5535,970,4063,904,189,4905,342,641,957,990,2619,3171,4390,3267,580,2231,1373,2015,1059,975,19,10643,1000,5277,575,325,2556,1736,-292,1479,129,1385,2872,261,165,1965,925,112,1926,5688,5973,1301,1239,1618,21873,19411,8794,221,3670,3475,938,1657,2914,4856,7756,29950,759,5671,332,3634,818,120,2893,1909,1348,4376,6766,214,2261,5424,16394,7760,-735,1514,12004,1587,479,59,5792,13621,1999,a
