0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,class
-79.2,1273.6,11917.7,17133.3,1019.0,1682.7,3664.6,1064.7,10358.4,4260.6,6235.0,6104.3,765.2,15880.4,1581.0,581.6,28.4,637.7,1198.5,5813.4,1240.2,5395.7,1586.0,459.1,10009.5,574.2,649.9,1301.8,8280.1,8701.6,2493.2,6428.7,3055.2,956.7,2849.9,5773.4,1702.9,1207.8,2273.2,-380.0,6159.3,2506.0,1830.1,631.4,536.6,2521.3,279.1,-71.4,783.6,40.1,1668.4,2023.1,1217.5,-111.0,1071.5,4103.4,76.7,2734.5,4788.7,4470.6,1825.6,1669.2,2045.2,18639.7,17554.4,14632.3,408.7,3994.1,5542.0,-42.2,8242.6,2821.1,4483.8,18531.0,29291.8,1093.0,5070.2,294.0,4950.5,2417.3,160.9,3109.8,2061.6,1222.3,9727.4,6045.6,101.8,2443.6,4481.8,15467.9,9452.4,611.5,3962.3,11899.3,1790.0,715.8,569.5,5762.3,14650.4,2862.5,a
-11.0,3667.0,11523.0,22095.0,535.0,4313.0,2481.0,2562.0,10999.0,4907.0,3842.0,19913.0,827.0,20335.0,1143.0,989.0,416.0,2198.0,1484.0,10269.0,1668.0,7799.0,769.0,451.0,10894.0,426.0,1296.0,3134.0,12104.0,8390.0,3294.0,5836.0,3019.0,651.0,3917.0,19084.0,2965.0,2206.0,1575.0,-8.0,10279.0,968.0,2698.0,1765.0,1493.0,4678.0,2918.0,-269.0,1585.0,588.0,1629.0,5041.0,1031.0,1225.0,4636.0,3407.0,48.0,2574.0,6873.0,6205.0,1607.0,1353.0,4226.0,15825.0,18596.0,6855.0,641.0,3790.0,9464.0,27.0,11743.0,5091.0,7010.0,19789.0,30217.0,764.0,8880.0,260.0,8112.0,4224.0,48.0,5566.0,1875.0,332.0,12765.0,13252.0,123.0,3368.0,7226.0,14835.0,8107.0,372.0,14207.0,18691.0,1741.0,1732.0,448.0,8657.0,13881.0,3776.0,a
-71.0,46.0,2374.0,14686.0,719.0,4257.0,715.0,2489.0,2006.0,746.0,1149.0,9192.0,821.0,2423.0,1311.0,57.0,-129.0,349.0,521.0,4902.0,714.0,2606.0,190.0,197.0,1730.0,446.0,355.0,548.0,1257.0,3842.0,2194.0,2319.0,1495.0,247.0,591.0,2892.0,2107.0,1200.0,1301.0,-418.0,87.0,1422.0,1341.0,-395.0,334.0,1033.0,239.0,-236.0,369.0,-167.0,1393.0,961.0,531.0,92.0,1822.0,736.0,161.0,1222.0,3863.0,928.0,455.0,1166.0,488.0,13956.0,11005.0,4344.0,-143.0,9499.0,864.0,429.0,1826.0,470.0,1899.0,6718.0,17475.0,1098.0,1925.0,335.0,13982.0,671.0,109.0,774.0,2718.0,964.0,5942.0,2656.0,67.0,2399.0,1950.0,4416.0,3600.0,-1508.0,2608.0,3461.0,422.0,80.0,234.0,6102.0,5536.0,1319.0,a
109.0,1330.0,13125.0,19006.0,1936.0,3075.0,1280.0,3241.0,3542.0,1769.0,8709.0,25188.0,510.0,20775.0,2647.0,471.0,61.0,1386.0,698.0,5367.0,1185.0,6765.0,1884.0,250.0,6085.0,76.0,1189.0,3602.0,4307.0,7207.0,5166.0,4568.0,4323.0,507.0,2593.0,3582.0,7773.0,2796.0,1692.0,64.0,9210.0,1082.0,6406.0,1291.0,457.0,4341.0,3781.0,-331.0,1302.0,410.0,1080.0,4774.0,779.0,1908.0,2431.0,786.0,80.0,1787.0,5550.0,6769.0,2650.0,1822.0,1829.0,19978.0,17789.0,5995.0,-375.0,5429.0,6503.0,-62.0,4540.0,2392.0,7570.0,12524.0,30692.0,381.0,3730.0,17.0,7702.0,1152.0,720.0,2638.0,2367.0,99.0,6033.0,11515.0,167.0,3633.0,9181.0,16349.0,7919.0,-669.0,3163.0,5753.0,298.0,463.0,-303.0,8506.0,13408.0,2926.0,a
-146.0,1715.0,9363.0,24762.0,761.0,1634.0,1148.0,1925.0,2363.0,4122.0,7685.0,9773.0,1538.0,22301.0,1435.0,298.0,-91.0,-631.0,1637.0,5416.0,682.0,4952.0,127.0,265.0,5258.0,411.0,1069.0,3810.0,2025.0,6462.0,2470.0,4136.0,2671.0,557.0,3894.0,3817.0,1223.0,991.0,599.0,-115.0,5513.0,965.0,7465.0,159.0,338.0,1918.0,974.0,-96.0,727.0,-149.0,1663.0,3766.0,46.0,17.0,2386.0,3025.0,166.0,3496.0,9112.0,10699.0,388.0,1126.0,1802.0,20831.0,18632.0,4731.0,687.0,4792.0,4608.0,36.0,6599.0,6236.0,2937.0,21274.0,16716.0,1102.0,3096.0,331.0,6703.0,1620.0,180.0,3347.0,1499.0,2743.0,4484.0,7486.0,189.0,1745.0,8046.0,20824.0,7254.0,3653.0,3042.0,14747.0,1660.0,1221.0,2003.0,6016.0,5817.0,6354.0,a
-37.0,3240.0,9061.0,24512.0,775.0,5019.0,2024.0,2326.0,8181.0,1950.0,4733.0,12782.0,948.0,22521.0,1550.0,660.0,135.0,1170.0,2307.0,8040.0,2304.0,4814.0,1756.0,162.0,5418.0,-293.0,1121.0,-159.0,7357.0,9504.0,2936.0,7222.0,3856.0,761.0,3104.0,22033.0,1938.0,1446.0,1088.0,-28.0,13944.0,772.0,1795.0,982.0,1009.0,3135.0,2032.0,-265.0,1233.0,-143.0,1101.0,4756.0,1566.0,2578.0,2754.0,2151.0,234.0,2187.0,4438.0,4440.0,1982.0,1020.0,1917.0,20191.0,17479.0,11160.0,183.0,3089.0,4941.0,32.0,10242.0,5571.0,4351.0,22231.0,30664.0,550.0,6034.0,345.0,8225.0,2062.0,-40.0,2639.0,1504.0,1022.0,6720.0,12742.0,134.0,2742.0,9995.0,9304.0,6354.0,-851.0,18983.0,15645.0,1421.0,1360.0,558.0,8480.0,14513.0,4808.0,a
-181.0,1615.0,13229.0,22307.0,1337.0,4190.0,2002.0,2848.0,8134.0,9279.0,6602.0,4637.0,1145.0,24855.0,2359.0,638.0,193.0,669.0,304.0,5836.0,1717.0,3834.0,2234.0,370.0,6971.0,1325.0,2273.0,2167.0,14592.0,11371.0,2611.0,8060.0,2020.0,290.0,2758.0,13995.0,4024.0,2385.0,1226.0,-186.0,10307.0,3365.0,2555.0,960.0,948.0,3500.0,387.0,-78.0,1248.0,57.0,1978.0,3271.0,2173.0,19.0,3069.0,4509.0,296.0,7460.0,13886.0,10250.0,3017.0,2505.0,2640.0,20016.0,20635.0,21592.0,1484.0,8081.0,4451.0,45.0,11019.0,3397.0,2834.0,20350.0,24825.0,706.0,8132.0,278.0,12850.0,5246.0,34.0,6466.0,1839.0,1112.0,10401.0,6393.0,90.0,2919.0,7802.0,19437.0,9789.0,4703.0,11529.0,14375.0,1116.0,1616.0,771.0,10323.0,16957.0,3168.0,a
-547.0,2374.0,7048.0,27620.0,508.0,2870.0,1461.0,2557.0,5714.0,5022.0,4537.0,7677.0,2156.0,21399.0,2495.0,586.0,60.0,750.0,1834.0,5886.0,1596.0,2946.0,1683.0,421.0,6113.0,-16.0,781.0,-56.0,13382.0,11352.0,2952.0,4562.0,1518.0,220.0,2638.0,10182.0,4513.0,2089.0,734.0,-412.0,10423.0,1583.0,3247.0,768.0,604.0,3113.0,263.0,-284.0,1191.0,10.0,1434.0,2320.0,1747.0,1603.0,3286.0,3560.0,117.0,3698.0,8449.0,10485.0,1784.0,1814.0,2132.0,21114.0,19394.0,16900.0,456.0,5863.0,5766.0,1058.0,7726.0,7811.0,2760.0,18337.0,16434.0,312.0,7298.0,607.0,11271.0,4414.0,172.0,3532.0,1626.0,1432.0,8238.0,8572.0,183.0,2769.0,4738.0,18321.0,8758.0,1117.0,9779.0,10973.0,1547.0,1309.0,637.0,9638.0,15170.0,5568.0,a
-92.0,1497.0,10111.0,13195.0,288.0,11396.0,619.0,9768.0,2208.0,2891.0,10261.0,2128.0,999.0,29683.0,1825.0,1691.0,646.0,1589.0,210.0,4636.0,3776.0,3914.0,417.0,271.0,5003.0,-148.0,962.0,3446.0,1763.0,15337.0,30229.0,7796.0,1723.0,470.0,1829.0,2578.0,2002.0,1851.0,1366.0,-159.0,3212.0,896.0,2493.0,344.0,2203.0,5602.0,183.0,-73.0,1054.0,48.0,1249.0,3574.0,1658.0,569.0,2709.0,4412.0,512.0,944.0,4753.0,4917.0,275.0,5113.0,1238.0,20166.0,22165.0,1599.0,622.0,3181.0,3868.0,85.0,2977.0,3286.0,3476.0,11457.0,14021.0,577.0,4916.0,419.0,9333.0,2039.0,115.0,3734.0,893.0,1113.0,9133.0,8268.0,62.0,2827.0,3664.0,7822.0,8903.0,-130.0,3268.0,22704.0,1113.0,1069.0,2280.0,7686.0,18762.0,4000.0,a
-306.0,3600.0,8282.0,26385.0,2617.0,2571.0,1518.0,1712.0,2008.0,3578.0,14075.0,11600.0,1167.0,21932.0,2685.0,703.0,421.0,2180.0,1303.0,6245.0,1728.0,10235.0,267.0,103.0,11724.0,13.0,1423.0,6192.0,3311.0,6645.0,4989.0,5843.0,3699.0,782.0,6587.0,6404.0,2073.0,2270.0,790.0,-226.0,5560.0,612.0,3332.0,842.0,1612.0,5083.0,4958.0,-135.0,1565.0,-260.0,1534.0,4617.0,2096.0,2830.0,2703.0,2472.0,179.0,3280.0,4525.0,6243.0,1750.0,1628.0,2557.0,21010.0,21027.0,6528.0,860.0,8466.0,7238.0,189.0,6201.0,4200.0,4246.0,15486.0,24729.0,685.0,5256.0,131.0,5862.0,1504.0,38.0,3824.0,1034.0,5876.0,9096.0,16360.0,462.0,2839.0,8883.0,6895.0,7230.0,-1569.0,6646.0,18527.0,1097.0,1350.0,-111.0,7508.0,7968.0,5668.0,a
