0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,class
212.6,597.2,2010.9,3890.0,3885.4,4945.4,3980.7,3600.9,4941.4,107.0,6310.7,3834.0,129.2,64.4,317.2,5429.4,4714.0,4427.4,4543.0,3306.7,3815.7,76.6,3010.3,3136.2,68.5,4212.5,4356.7,4060.9,52.2,3502.5,-2.0,2735.5,122.1,3617.2,3602.8,3819.5,4370.7,4121.9,5269.6,3788.0,69.7,3405.6,1830.4,137.8,3325.1,3536.4,4237.0,176.1,185.9,19.2,2339.1,102.0,3316.7,8.1,525.2,302.7,4633.8,3311.0,3947.9,4097.2,70.0,845.2,78.8,46.3,4793.5,105.7,816.8,17.1,230.9,5003.8,3814.6,4507.5,688.4,4504.5,3390.3,5325.8,3712.7,4733.4,64.3,3767.3,84.0,124.4,4423.7,786.5,4313.9,59.6,191.7,3493.7,45.5,95.8,-0.3,3366.4,4652.8,406.8,3845.4,3302.6,4033.8,744.5,469.6,3070.5,a
148.3,493.9,1608.1,3698.9,4159.3,5054.3,4300.7,3536.0,5273.5,163.6,6934.7,4211.9,76.0,56.2,259.4,4955.1,5375.0,4573.1,4973.5,3287.1,4895.8,90.8,3091.7,3322.0,33.3,4521.3,4597.9,3980.3,95.5,3459.4,224.3,3032.9,105.9,3924.8,5151.4,3530.6,4570.9,4167.0,5824.8,4077.8,145.2,3062.1,2636.8,173.7,3469.7,4265.9,5085.9,304.7,163.5,80.3,2277.0,110.3,3502.4,17.3,396.3,184.0,5142.7,3432.4,4278.2,4536.8,63.1,635.8,271.5,61.1,4874.5,101.5,807.2,32.8,191.2,4678.8,3576.1,4141.1,347.9,4715.4,3188.6,5632.6,3815.3,4768.7,90.1,4487.4,100.2,140.6,4825.5,527.2,4169.8,131.7,57.8,3663.3,37.5,161.6,57.0,3395.7,3402.8,171.2,3960.6,3146.9,4285.1,754.6,313.3,3567.3,a
48.1,168.3,510.9,1096.5,707.8,677.4,897.2,800.3,640.3,379.4,429.6,622.8,104.5,170.1,776.0,750.5,800.0,492.9,878.5,948.9,1175.2,375.1,527.6,871.1,152.2,648.8,451.2,731.5,130.5,913.8,616.8,470.9,171.3,584.5,534.2,782.4,866.3,659.3,358.3,672.4,252.5,868.2,841.4,397.7,603.1,1146.6,800.5,100.6,83.5,192.5,413.2,193.6,525.7,162.3,68.5,515.8,655.0,806.2,836.5,723.7,208.4,1091.0,514.5,273.3,738.8,273.3,302.2,80.1,517.6,1001.3,825.1,1045.5,1001.8,659.4,799.7,927.1,830.9,1070.5,47.9,1112.1,161.0,72.3,912.5,913.4,865.5,358.3,321.2,596.5,84.2,359.0,154.7,564.8,1129.5,358.1,744.2,1036.9,742.5,1091.2,657.9,840.5,b
141.4,408.2,1058.2,2235.9,1525.0,1579.2,1741.5,1604.0,1470.1,252.9,2126.3,1635.2,96.0,153.1,656.7,1746.8,2242.6,1402.9,1752.5,1957.2,2684.9,356.9,1067.8,2123.7,173.5,1543.3,1191.9,1580.0,138.9,1945.2,775.2,1338.4,207.0,1289.3,1767.9,1601.1,1995.0,1463.9,963.9,1381.5,253.8,1499.0,1628.1,316.6,1208.3,2021.0,1899.9,78.0,90.2,187.4,963.2,336.1,1129.2,138.6,38.9,460.9,1849.4,1608.6,1785.9,1569.4,180.3,1427.1,705.7,159.3,1849.4,303.1,445.9,66.7,592.5,2439.7,1622.4,2361.1,1314.6,1768.9,1726.9,1957.5,1831.2,2300.0,34.9,2310.9,167.0,54.4,1886.7,1203.6,1904.5,519.5,215.8,1335.8,91.6,260.4,180.3,1234.5,967.3,328.7,1019.5,1974.3,1873.1,1353.9,630.4,1823.7,b
208.9,512.2,1556.6,2786.5,2623.9,3405.6,3099.6,2704.8,3470.5,58.2,2815.1,3188.4,-229.6,68.1,156.9,3267.9,3879.8,3250.0,3590.5,2532.0,4036.9,116.1,2415.3,3231.5,38.6,3031.7,3046.5,2744.5,60.0,2874.0,102.5,1980.3,110.6,2506.3,3301.4,2754.4,3089.6,2895.9,3747.1,2515.7,73.4,1889.2,2607.9,241.0,1890.1,3181.3,3340.5,147.8,169.7,5.7,1551.8,114.3,2585.6,0.6,355.6,147.3,3745.8,2097.1,3051.4,3151.2,64.5,691.3,51.9,53.5,3132.7,41.3,871.2,2.7,168.0,4087.1,2850.6,3441.8,331.5,3166.2,2466.0,4078.8,2735.9,3217.1,114.3,3646.9,66.1,364.8,3332.5,525.4,2465.7,90.7,29.6,2520.3,21.6,65.7,41.7,2392.6,2864.1,175.9,2976.1,2662.9,3244.4,739.0,287.5,2648.1,a
211.2,580.9,1917.6,3673.1,3929.7,4736.5,4064.9,3067.1,4821.2,90.0,6669.8,3931.7,-176.9,70.7,141.8,4541.3,4348.0,4204.1,4199.8,3018.1,4300.7,64.1,3305.6,2501.4,11.1,4216.3,4445.4,2633.3,60.6,3266.3,194.0,2901.3,109.5,3546.3,4824.5,3651.0,4203.4,4050.9,5473.5,3631.8,60.9,2864.5,3232.2,155.4,2873.3,3848.8,4076.9,142.3,263.9,47.8,2327.3,81.1,3398.5,44.1,148.1,137.2,4283.8,2433.2,2747.8,3989.5,54.9,608.1,228.9,144.2,4663.6,84.7,523.2,3.0,124.2,4954.9,3118.3,4216.5,358.9,3200.3,3305.8,4975.9,3327.5,4059.8,132.1,4057.4,86.7,999.8,3467.2,528.9,3249.0,146.5,35.9,3401.0,35.8,163.7,29.3,2995.1,1911.4,168.8,3918.0,2894.4,3809.0,595.7,450.0,3380.9,a
54.3,163.8,568.8,1276.3,974.3,728.5,997.1,881.3,813.5,306.3,1374.5,832.0,204.0,168.6,851.5,996.3,986.3,694.1,1046.9,1210.9,1689.6,157.4,613.8,1088.0,202.1,737.6,609.6,810.5,192.5,1106.6,797.8,846.0,126.2,891.7,900.9,917.0,1072.8,815.5,456.9,647.8,378.1,1021.6,984.7,718.8,702.1,477.0,853.6,70.3,50.0,265.0,328.1,162.3,456.3,125.2,43.8,490.7,868.2,943.9,944.0,907.8,190.9,1188.7,729.7,336.2,788.4,423.7,177.2,71.7,527.4,1289.2,1042.5,1200.9,1092.1,814.9,874.8,761.9,954.6,1204.6,37.0,1353.6,307.8,79.4,919.6,1055.3,787.3,375.3,124.7,700.3,124.2,469.4,239.3,680.0,420.5,482.4,599.6,1246.1,726.2,1088.2,892.4,1129.7,b
218.1,545.7,1950.5,4432.7,4325.3,4304.6,4616.9,3685.2,5251.6,124.3,7180.5,3501.4,245.9,64.3,238.7,4324.3,4778.1,3554.6,5274.0,2503.5,4804.9,116.9,3781.4,3141.2,39.5,4693.4,4832.9,4038.3,78.0,3668.3,270.8,3095.5,96.0,4118.8,5231.1,3304.6,4703.2,1993.5,6233.8,3975.3,71.9,3918.8,2470.0,168.3,3335.3,4518.8,5225.6,191.3,135.7,33.4,2448.6,67.3,3795.6,35.8,473.9,160.9,5000.7,3004.6,4064.1,4594.6,56.6,713.1,419.0,47.9,4552.1,115.4,1050.7,19.0,120.5,4868.5,3927.1,4690.0,631.7,4771.5,3593.5,5489.2,3314.8,4556.5,67.1,4664.5,100.9,129.5,4748.1,582.8,3444.0,108.0,95.4,3305.5,34.0,81.3,87.6,3534.3,3115.9,186.2,4531.3,3646.0,2820.7,712.8,295.5,3667.9,a
416.2,845.5,2923.5,5487.1,5324.4,6036.5,6634.7,5373.3,6304.5,77.9,10144.1,3852.1,-183.1,25.7,197.1,5462.9,5567.2,6013.2,4095.1,3155.0,5565.1,28.4,5184.4,1938.4,23.9,5083.7,6736.0,4388.7,52.5,2815.9,31.2,3284.6,137.1,5267.1,6233.7,3845.8,4378.3,5818.2,6712.1,4406.7,78.0,3887.0,3396.2,158.1,3504.5,5590.8,4350.2,193.7,201.5,35.0,3919.3,76.2,5309.7,26.7,159.1,125.9,4954.1,3172.4,3608.6,5108.2,61.1,527.4,193.2,120.3,4931.3,15.1,959.1,2.6,124.4,4634.2,5655.4,4860.2,307.2,5719.6,4082.5,6411.6,4240.5,6382.3,55.3,4417.7,37.2,144.2,4697.4,542.2,3510.1,92.8,22.4,4564.2,22.8,129.2,63.4,5350.4,2114.7,236.8,2637.0,4082.3,2720.2,621.0,469.8,5456.5,a
227.4,536.2,1431.5,2553.1,2279.1,2250.7,1920.2,1800.6,1977.4,210.7,913.0,1851.9,17.3,95.9,478.3,2311.9,2134.8,2110.7,2171.5,2184.1,3074.5,167.3,1375.7,2308.6,79.4,2001.8,1482.3,2026.8,253.6,2184.5,530.5,1385.4,172.1,1778.2,1338.6,1808.7,2105.2,1610.8,1954.6,1658.3,265.8,1693.0,1536.5,489.9,1357.1,928.6,2252.1,114.2,146.0,141.1,746.6,128.2,1089.8,109.3,149.0,243.5,2176.9,1410.3,2236.6,2048.8,138.6,933.6,513.1,194.3,2222.5,418.8,668.0,13.1,239.4,2457.6,1802.9,2687.5,1470.8,1990.5,2217.6,2627.5,2105.8,2620.7,22.3,2518.1,116.8,151.9,2392.5,1361.9,2201.0,240.8,170.9,1394.8,74.9,214.3,127.4,1446.5,353.7,316.8,1620.9,2109.1,2037.9,1339.8,690.2,2157.4,b
