0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,class
2085,546,3170,891,163,2948,726,910,543,301,955,433,1494,8811,771,-113,1338,1129,12053,6921,8286,8936,829,2008,243,4413,10942,1726,748,910,67,3435,789,3622,2049,527,-158,1179,9170,72,5011,1537,162,715,229,1098,480,197,287,373,204,-28,563,1206,145,1711,672,948,628,79,630,7890,2957,14742,7208,1473,2644,2998,7578,520,1010,-20,146,7454,1673,179,246,241,156,1033,743,3037,205,332,288,1081,1224,-662,7502,16672,5151,237,12813,593,-115,39,4351,2273,357,1523,a
2416,234,468,811,779,2857,1460,1510,1121,334,1884,471,3449,9802,940,1256,1024,1105,4231,10405,6669,13518,2198,2567,995,10383,9756,399,1571,454,-57,3318,1569,9380,2999,351,-102,876,11000,411,13372,8379,1258,551,139,1655,1078,138,848,192,340,691,3584,2624,116,5174,790,405,877,305,2456,6171,678,12641,13498,2243,2132,2097,11102,1842,3072,382,20,10339,2990,424,3122,1861,-12,11505,804,731,691,27,1375,2618,2472,-8,16768,34276,6137,1542,13190,738,-18,17,8607,6808,7216,6056,a
2336,839,1405,791,1047,4917,1378,1256,1477,164,1488,643,3889,8535,789,635,1267,1466,7240,8512,7782,11755,4870,2416,359,9152,8599,1908,2883,619,416,5122,2598,11327,2335,665,-157,1037,10644,458,11535,13273,1966,1206,349,848,1053,76,601,429,405,-99,2915,2752,223,3476,972,736,764,113,1729,8590,4909,12730,9975,2204,3177,2563,11284,1781,5374,442,336,13452,1693,675,3964,690,-48,8607,330,1156,157,292,945,1987,2791,-650,19206,29945,7564,534,13540,1555,31,13,11118,2549,5885,2901,a
1771,370,1471,807,430,2664,368,1293,894,416,1067,398,3380,5867,640,281,1007,1184,6091,10594,9196,9202,1206,3737,466,3800,8998,279,1446,297,716,938,1914,8847,1144,341,-29,261,7861,271,10640,6635,672,396,327,678,817,35,634,172,1093,331,1360,1095,190,2884,930,791,134,269,1106,2604,799,9872,8912,2259,1275,3636,9979,1120,2949,107,170,7248,981,238,991,825,-73,4673,493,430,134,132,1317,767,2757,140,10944,42653,5724,505,17157,1003,-19,37,9791,5659,2606,2465,a
2156,564,2156,2396,228,2170,193,1516,681,-169,1272,965,3890,5109,1050,-444,1201,1845,8423,824,9711,9883,198,2226,546,3905,9563,914,3065,390,657,2102,1750,8789,2261,611,-76,287,3897,172,2654,625,294,665,672,917,1150,157,424,487,67,152,8494,2492,384,2353,804,1130,249,81,1584,4819,1493,18742,4583,1209,1628,3282,4553,869,1373,242,303,3168,987,692,237,259,-82,6195,227,908,173,334,150,728,1480,87,7238,9772,3013,511,12063,516,-5,2,6162,259,1408,1667,a
2942,556,2104,1750,685,4383,799,1674,1916,382,2563,650,2875,9054,1153,735,2001,1611,7948,14710,9419,13685,2251,3386,405,9065,9328,857,2477,347,52,2025,2706,7001,2944,411,11,938,8310,556,15061,8460,1412,547,341,2088,655,143,1308,266,342,964,5816,2328,285,3641,673,945,1324,397,2714,4821,2899,11217,10571,1762,3188,3629,13584,1892,5534,210,264,9640,2818,436,4209,266,42,3903,640,890,301,500,2509,1719,2355,110,17948,20399,5940,291,14997,1952,40,-5,5183,3334,1597,4413,a
2272,361,2243,1478,169,1922,793,1711,1797,1476,2408,1899,6331,8267,1567,407,3715,1422,2921,7720,7333,13068,646,2982,492,17809,7943,316,2801,153,-205,1074,3251,19311,2096,504,-58,854,9705,976,8993,16846,88,393,133,2605,884,29,1193,309,108,1001,1071,3301,165,2044,572,967,1786,734,2792,2320,1894,11148,9090,3661,1788,4845,21846,2170,4416,470,275,8746,838,269,956,289,-54,7344,974,601,422,76,1684,1865,2367,104,5420,23628,7986,253,18949,1469,-122,40,15392,2469,1245,2914,a
1854,428,1991,1331,28,3105,410,984,1012,467,1368,362,3612,5930,967,129,1243,1218,8599,5600,6991,14719,1104,1796,248,11191,7702,552,1491,260,184,2955,2215,6487,2688,372,-106,387,7410,265,4841,15060,496,929,182,1590,598,32,789,309,226,226,602,1374,342,2151,629,496,948,244,2496,4830,2458,1030,7300,2068,1890,4053,7898,1274,1171,136,160,6839,1247,163,248,1265,95,3203,535,877,222,299,805,1589,1641,569,4063,16464,4783,479,12873,1653,20,175,3742,2218,573,2903,a
2539,680,2914,1087,-52,4221,293,3551,2558,414,4836,988,7795,8761,3598,-11,4326,1286,5732,4577,11000,14407,256,3587,287,10917,12511,1196,3068,279,121,7886,2605,15068,3065,615,-51,920,8654,550,6837,4387,-79,736,145,1988,1517,172,1392,682,109,1275,17908,4029,125,1852,402,1265,1560,497,4632,3819,1426,9841,9806,1330,1045,6417,7082,1097,1438,152,262,9582,1819,310,364,449,181,13356,316,781,266,355,1249,3398,1270,-1618,6111,3120,8999,758,12390,1243,-85,12,13893,848,84,3374,a
2681,263,486,481,613,2950,1511,1831,1335,345,1603,344,4208,9746,685,1570,650,1206,3787,13139,6930,11970,2342,1903,1144,10307,10246,553,1874,589,5,3483,2027,9425,3390,359,-10,1314,15094,364,13274,9699,1685,483,194,1192,1046,-1,714,247,312,526,4863,1628,198,5582,644,445,900,292,2918,6748,855,14099,12167,2069,2494,2739,12693,1876,3226,462,257,10015,3429,445,4988,1684,158,13447,1093,926,769,110,1149,3329,3056,119,18791,32040,6547,1589,12985,1020,-117,0,7998,6568,8527,5945,a
1016,408,713,1312,28,2539,90,940,583,155,1135,535,5578,5344,466,-786,1248,799,6140,1340,6986,12766,222,1571,383,10767,6756,692,1642,360,218,2459,696,7374,1223,109,-293,-94,4569,318,6016,12293,-249,982,725,1300,423,285,437,61,-69,347,587,1563,431,1434,742,619,677,314,1690,1810,1369,6672,4838,2000,1329,1772,9058,1640,2185,163,316,6108,832,314,537,278,-95,3034,354,940,235,42,832,1024,3658,-232,2516,5830,4199,1615,13887,1590,47,26,11882,874,-556,466,a
3817,300,1869,487,440,2755,437,1617,1491,818,2046,588,7286,9514,1245,457,1628,2112,7361,10277,8567,12588,2538,2992,618,7815,7649,457,4298,287,3,3085,2030,10936,2684,548,16,1226,13935,541,13075,9709,3819,574,490,1511,1100,129,1277,441,348,642,4837,2977,226,4799,1198,642,1602,438,2709,4221,3150,9548,10117,1944,2955,3707,12199,1842,4690,336,296,9876,1957,613,6115,101,100,6304,212,855,272,416,1814,1684,1713,34,20067,32502,6689,274,13308,1274,10,-36,8867,7487,15975,6705,a
5768,1006,4567,3233,828,6709,1135,2259,2734,499,4008,1411,3208,15764,1550,903,3282,1340,13030,14366,13775,15858,2878,5249,744,11543,14085,3912,3841,1084,-19,7220,3269,9163,5273,1398,-146,1637,7157,931,11629,2948,1070,1237,856,2979,1233,-2,1587,673,241,1051,5547,3960,172,4152,851,2088,1225,1746,2655,15684,6721,18187,13329,7089,3098,5008,15467,1228,4562,717,498,16891,3318,520,4608,51,80,4970,786,2087,316,1678,1542,3523,2437,-862,18395,13895,10388,1049,14858,1923,-3678,-3,14226,3518,563,5922,a
992,159,618,888,117,3102,376,648,399,23,2620,62,2170,4427,348,1153,839,1681,4950,13177,5462,16319,1875,2000,-126,2886,2339,763,1075,327,113,2445,1201,4032,837,380,-348,655,4210,131,8247,475,1534,964,133,715,1912,203,94,226,1342,-145,675,876,108,2147,576,212,572,-198,477,7419,675,9638,11959,1162,911,1264,6328,1577,2516,209,198,8222,2283,-57,-283,80,85,3728,297,786,399,103,43,1051,1365,71,16248,27654,2452,1891,17657,1398,-76,13,5896,1372,1709,708,a
484,419,211,285,195,1844,414,407,144,-229,1012,33,1208,2777,507,-852,298,515,3385,4088,2236,6085,793,960,-48,1427,363,432,979,301,1517,1893,443,2679,711,15,-77,533,1983,-306,4238,10797,2,190,64,1071,103,249,-123,118,407,-304,360,296,77,1025,41,535,182,-188,229,2983,427,2893,3710,229,211,633,1643,309,770,15,100,4052,708,-139,881,721,-193,1952,309,615,144,46,-28,785,989,574,4372,1996,1569,1329,4964,669,-59,105,1146,479,190,530,a
5593,738,7027,2049,89,3468,399,1835,1147,564,4254,1021,2559,10689,1127,74,2477,1421,11672,5956,8520,11778,419,2095,314,7481,12838,2184,2953,836,769,1519,1910,5409,3228,1106,-130,2080,7963,505,6721,359,-150,2356,295,1500,523,144,731,496,254,1044,514,1545,151,1693,582,1161,540,181,2129,12164,2717,13992,9686,1243,2200,5475,9453,659,1529,122,399,9522,2222,538,3,1516,199,1732,334,2316,269,560,907,1859,1487,-923,7696,8090,7140,1030,12720,1507,-70,55,10852,499,185,2167,a
1661,217,967,800,47,2934,162,1130,375,303,1663,120,2043,8892,852,-457,519,1038,8103,3595,5044,10174,1135,1499,24,8886,5001,932,1855,368,647,2059,778,4871,1255,390,-87,523,1936,-71,5899,9876,-116,586,61,1180,472,105,665,169,210,333,1336,875,16,773,297,731,814,80,1096,7916,456,8474,8549,839,886,1913,6233,308,903,-1,146,4188,1225,317,321,274,-256,1689,214,2919,265,217,270,1418,1952,569,3266,2577,4377,1447,10248,1044,-1290,36,5481,590,293,1589,a
3553,664,3648,1092,161,2181,235,1089,1088,146,1717,548,2973,8947,737,-446,960,2374,7078,5793,9195,9444,909,3420,201,5526,10445,1456,2550,326,780,2908,1459,4307,2818,980,-114,1863,7224,232,3836,1301,48,897,444,630,429,50,1008,421,318,392,782,1388,154,1482,730,380,569,-87,650,11570,2999,14990,7754,1462,3223,3441,10938,522,1440,-33,295,6646,2756,471,821,523,211,1075,405,1690,116,244,271,1212,627,-626,7341,6516,5985,1106,9469,753,-2617,43,4223,1236,534,1194,a
2235,226,1356,637,60,5424,503,2864,918,267,2737,889,1650,14127,1106,-299,1154,620,6147,5227,8425,11765,907,1915,79,11144,12022,2327,779,756,7599,14361,2521,9764,1926,665,-240,860,4195,867,8534,5196,-151,1404,175,2002,-131,58,94,218,441,321,15001,3084,70,694,582,1754,611,282,1256,12003,2571,15606,13570,2656,1372,2883,9944,1342,1327,363,391,8415,1856,163,34,170,-55,5233,820,2016,539,218,801,1761,4031,-501,4933,7934,5552,1409,16260,959,-124,46,12629,736,-744,1741,a
2620,256,1073,840,10,1470,671,874,564,233,983,64,3186,4977,841,-303,1006,582,4508,3356,3023,10511,812,1988,147,5773,5467,935,2060,446,45,5625,2435,3045,1633,418,-180,501,5319,-16,4711,5762,-114,436,71,971,919,142,400,225,237,-159,3754,484,185,1136,513,298,644,-96,723,10242,1351,10803,8505,955,1497,2588,3439,496,1244,12,126,4996,1147,154,527,180,265,779,164,1489,162,60,249,1020,532,-551,3122,12914,3348,898,7699,139,-2546,-22,2872,46,656,869,a
401,50,439,165,7,1703,697,162,194,-258,888,47,1397,2866,596,-532,428,204,3906,2517,2868,4263,487,686,-2,4859,1216,423,2038,348,-2,1399,385,2451,593,167,-287,154,1061,-542,6014,827,23,180,71,1088,95,247,-154,141,212,-375,542,441,-21,433,244,753,-58,-239,652,2166,612,3001,3872,550,191,1320,2376,255,380,-117,178,2746,1663,-37,316,220,191,74,279,556,282,-31,172,625,1306,-117,3997,2339,2118,1610,6105,556,5,-109,1929,287,-188,417,a
2735,659,3792,1359,1112,6793,2308,1671,1666,330,1747,1126,3197,13034,2349,2594,2247,1217,12974,15204,16085,13560,3911,3163,621,8011,10618,2643,2743,1478,7402,1231,3573,8445,3309,870,-154,2940,14241,340,8489,15615,727,1405,232,2362,1287,61,766,402,564,642,7549,2502,156,4262,859,876,570,235,3253,21401,6396,20942,8936,1384,3164,5070,13967,2218,5352,164,586,16804,2616,738,3290,1312,106,4530,2314,1555,518,98,3201,3017,1978,-209,19155,31746,11092,2234,14184,2371,-5037,91,8093,4212,4073,3008,a
3562,498,2526,766,35,2442,595,2717,891,326,1229,479,1458,6529,4795,-312,2005,2273,8452,3660,6145,7147,425,2565,179,3361,8647,2812,3335,479,6523,1688,4145,5758,1719,915,-100,1219,1362,274,2885,1204,-52,812,516,1073,714,130,375,522,153,107,1280,1983,277,2082,803,527,346,-4,640,8018,1390,13342,4241,203,2478,7369,1974,747,1280,-7,281,6478,1096,492,-13,1441,139,873,481,2414,48,293,275,1231,604,-1867,5362,1890,5680,557,6163,349,-101,132,6337,469,82,1670,a
2732,235,656,1412,35,3066,537,1797,774,588,1186,171,3714,6846,1030,-156,1178,884,10258,6890,6512,13719,771,1644,71,8643,10057,1073,4738,264,6477,1408,1507,6586,1603,345,-118,746,1679,271,3024,9196,102,562,144,1263,431,124,519,121,31,1906,841,1467,165,960,561,416,768,112,3505,8913,666,8834,9956,720,933,3058,4057,1256,3068,112,190,5353,1561,475,186,1377,159,1673,217,1713,217,275,62,2143,1828,-367,6923,3916,6962,1189,13154,1604,-532,85,7015,908,-572,1006,a
3209,157,493,591,252,4671,977,974,1092,156,1354,253,4019,8486,1062,1108,789,975,9067,11408,6681,11409,3299,1644,9,5460,6021,660,2106,422,818,2395,1810,4268,2091,501,-15,799,7713,282,10609,6951,789,536,186,1166,510,71,781,240,557,159,1329,1616,290,2799,613,475,986,28,1193,7946,1012,9773,8722,1069,1565,2466,6312,1932,2467,28,134,7564,1123,518,1373,1276,138,2916,1098,786,256,113,202,2426,3201,-309,16564,13769,5563,1044,10045,1954,-181,45,3452,1917,1269,1240,a
470,37,407,631,131,1745,250,612,119,-198,890,39,430,2968,786,-1118,275,186,4977,1762,2075,3608,422,919,4,800,2036,750,1342,384,1135,771,439,2013,775,62,-370,597,2192,-280,3478,1521,79,587,68,721,106,85,104,137,349,-219,516,286,62,1034,418,-407,301,-238,135,2680,353,2675,2029,321,518,875,731,278,579,-91,133,3392,750,-48,215,1647,-100,1068,625,1189,148,6,-54,351,1848,-566,4160,10841,1034,1174,2023,599,-45,79,2111,668,-131,434,a
1575,295,414,583,-75,2237,253,354,96,-120,942,-60,1892,4980,630,-110,367,255,4544,3630,2896,5148,225,513,-2,3166,9645,507,2795,354,-382,1666,529,3166,724,284,-318,259,1087,-196,4613,1722,-180,221,25,801,89,162,175,148,264,74,102,878,-49,724,256,580,255,-192,576,2683,647,7053,6658,755,685,2008,4739,660,447,30,49,6501,2087,-40,30,192,116,1516,234,793,89,-25,-189,1066,845,123,4288,10364,2709,1893,4767,105,-393,-36,4726,379,-29,377,a
2039,199,1272,481,56,2593,316,1124,341,202,907,25,975,5817,579,283,510,686,8402,6388,2770,8258,479,1240,-4,5968,6920,1455,2912,-160,180,490,758,3202,2196,423,-147,329,1607,94,4435,808,86,161,108,1047,48,55,452,128,187,379,487,1391,84,1195,242,300,432,-34,1128,7132,739,9173,9115,507,487,3460,4906,501,1335,-20,190,4481,1406,228,322,452,102,1569,166,547,43,30,399,1243,1008,-650,7392,3488,3349,426,9022,1122,22,-32,6356,311,-468,656,a
455,132,201,292,43,1006,221,196,-20,-64,763,48,489,2726,578,-311,128,155,3152,855,2525,3723,349,542,-41,1397,1866,114,796,281,1047,677,402,1237,480,25,-484,258,457,-308,2664,3982,-162,228,84,796,34,224,116,100,178,-77,949,112,-45,635,226,372,228,-219,-253,2513,315,2065,2941,333,269,613,2092,354,-64,-4,89,1896,317,-27,43,1468,80,656,423,766,219,0,-240,747,1230,917,1820,2310,1264,1411,3625,590,11,-50,944,482,-697,489,a
