@relation prostatemattest

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute 55 numeric
@attribute 56 numeric
@attribute 57 numeric
@attribute 58 numeric
@attribute 59 numeric
@attribute 60 numeric
@attribute 61 numeric
@attribute 62 numeric
@attribute 63 numeric
@attribute 64 numeric
@attribute 65 numeric
@attribute 66 numeric
@attribute 67 numeric
@attribute 68 numeric
@attribute 69 numeric
@attribute 70 numeric
@attribute 71 numeric
@attribute 72 numeric
@attribute 73 numeric
@attribute 74 numeric
@attribute 75 numeric
@attribute 76 numeric
@attribute 77 numeric
@attribute 78 numeric
@attribute 79 numeric
@attribute 80 numeric
@attribute 81 numeric
@attribute 82 numeric
@attribute 83 numeric
@attribute 84 numeric
@attribute 85 numeric
@attribute 86 numeric
@attribute 87 numeric
@attribute 88 numeric
@attribute 89 numeric
@attribute 90 numeric
@attribute 91 numeric
@attribute 92 numeric
@attribute 93 numeric
@attribute 94 numeric
@attribute 95 numeric
@attribute 96 numeric
@attribute 97 numeric
@attribute 98 numeric
@attribute 99 numeric
@attribute class {a,b}

@data
1010.8,456.6,445.3,610.1,578.3,152.1,7.3,360.3,396,856.9,4.8,80,38.3,-3.5,33.1,16.1,35.8,22.8,5.8,28.6,3.5,7.7,17.8,8.5,19,27.9,21.8,9.7,-1.3,10.1,58,-0.9,-5.5,54.7,19.6,17.5,130.4,38.5,88.5,811.2,235,29.4,229.7,105.5,29,153.1,18.8,62.8,73,296.5,114.1,7.7,86.9,105.9,140.3,45.7,44.9,1.6,235.2,46.2,43.4,200.1,503.2,45.9,11.2,44.2,45.8,188.5,4.3,27.9,24.6,147.7,524.8,2.2,69.1,69.2,24.9,113.7,27,171.2,51,31.3,22.7,63.5,17.7,182.6,0.9,18.9,78.4,34.3,410,8,4.7,26.1,0.7,911.6,5.5,28.8,224.3,506.3,a
674,575,441,629,632,274,2,442,426,745,14,21,18,5,51,59,83,27,35,21,10,18,37,12,28,20,29,14,43,25,87,188,30,85,80,36,102,115,98,274,109,5,288,213,95,270,19,57,148,386,115,25,379,92,110,59,42,27,139,75,53,205,504,71,24,50,43,183,40,65,133,91,787,427,59,157,61,456,88,136,137,36,54,96,-5,158,35,40,163,32,465,52,14,16,3,735,20,23,187,901,a
958,383,143,0,347,36,29,160,354,57,-11,148,80,-6,58,12,66,9,9,-5,7,31,17,9,32,26,48,-11,-21,18,105,31,-27,50,2,-10,307,64,38,438,26,9,72,38,-3,151,2,0,97,252,96,-1,39,-1,1,4,1,17,484,15,75,225,42,16,26,-23,20,113,9,17,32,259,419,-31,0,52,30,76,27,183,55,0,79,63,23,210,1,0,61,24,58,-13,2,4,-6,667,-7,8,227,108,a
1128,364,242,365,550,200,25,266,548,363,-6,74,37,-1,65,0,62,9,19,19,6,19,27,15,20,28,36,14,2,34,39,27,0,66,41,6,170,87,28,388,84,3,96,47,27,147,3,10,95,312,120,23,114,51,76,28,7,1,337,25,90,143,215,3,7,8,45,141,9,37,27,141,687,-32,73,83,39,106,13,139,37,23,44,54,0,244,-14,11,86,13,232,-1,12,14,5,835,13,11,52,558,a
1673,791,176,226,1044,95,18,179,328,73,-14,87,50,0,66,9,48,17,9,0,-12,9,7,15,21,-4,50,4,1,5,65,8,-2,63,54,10,203,209,5,308,70,-6,88,84,14,228,-7,20,96,550,198,-1,-24,83,31,-19,9,12,248,38,70,132,358,29,8,21,44,117,5,1,177,239,519,-25,19,84,54,165,19,120,65,35,31,61,0,284,-1,6,22,9,110,12,-4,3,3,1342,-16,5,40,659,a
1178,400,248,424,794,284,0,452,819,807,-3,72,42,3,36,5,41,19,4,-3,0,17,15,8,14,19,22,5,7,13,36,30,9,88,38,1,162,242,63,276,24,0,102,48,-1,220,23,-28,88,251,151,0,377,32,6,12,4,15,292,60,55,187,175,20,14,24,63,118,1,24,119,202,330,3,50,89,70,252,26,119,70,35,27,71,-2,288,-16,6,68,32,187,0,0,13,8,898,0,9,138,377,a
1116,581,233,9,157,4,15,79,90,-41,-16,141,61,-7,46,3,124,-3,15,27,-2,32,25,34,13,17,43,-2,-6,14,81,31,-33,102,15,5,171,4,65,412,126,-15,58,79,-4,192,6,14,194,232,89,-9,0,48,-10,21,8,-2,443,21,44,262,283,19,22,14,46,125,-5,36,-9,279,441,-43,44,55,1,133,32,196,53,17,166,56,8,259,-48,15,50,33,73,-13,-2,-25,0,1015,-18,14,234,589,a
968,736,464,627,738,311,9,429,548,778,-2,64,32,-1,18,28,92,14,5,18,3,26,18,13,15,14,60,6,7,25,46,14,5,105,37,15,112,142,48,432,101,13,222,163,35,180,12,8,92,290,164,19,241,73,33,32,12,8,206,64,53,218,251,25,13,16,61,152,6,34,84,203,778,35,70,85,30,221,37,144,46,34,61,55,2,258,11,17,44,19,409,12,2,2,2,980,5,23,163,868,a
944,89,-7,-19,-127,-62,-1,138,-43,-42,-14,199,157,-12,98,11,67,58,6,-14,-26,53,21,7,-19,15,38,-9,-31,48,70,39,-35,73,0,-1,222,-5,47,410,25,-9,7,-22,-12,63,2,38,118,227,50,-2,-5,4,-29,-3,1,2,454,0,55,280,5,18,7,-42,52,82,15,17,7,278,588,-55,10,21,4,64,22,183,58,-12,151,66,10,90,-11,2,97,40,-29,-23,5,24,-5,650,7,8,32,-12,a
1122,231,46,10,72,-60,33,101,-20,-85,-15,196,79,0,71,-6,73,-6,18,-18,-7,27,9,32,2,8,53,-15,-2,12,103,5,-3,62,11,-11,345,11,67,512,16,-11,9,10,-3,80,2,-9,124,214,98,1,-8,16,3,-3,11,0,438,10,89,267,49,2,26,-15,24,118,8,16,60,278,553,-61,-17,22,22,75,31,215,83,-8,81,60,39,121,5,2,39,31,5,-25,-10,-8,-6,805,0,11,39,249,a
1887,775,92,551,644,257,12,173,414,659,4,33,35,0,54,35,66,17,7,23,9,10,17,11,17,19,42,16,11,35,28,1,18,53,46,16,108,92,87,706,191,10,137,228,46,198,13,39,191,282,-53,7,37,192,71,44,20,6,147,70,51,241,327,41,13,23,53,238,13,43,125,241,787,-15,55,84,30,196,44,118,30,46,33,87,5,314,11,36,49,29,278,30,7,15,10,2039,0,18,178,991,a
1707,353,156,325,357,146,7,111,315,400,8,71,29,0,44,31,66,19,24,25,0,32,38,11,13,8,19,4,9,33,45,33,-1,63,79,7,218,108,139,388,84,2,144,112,25,250,13,19,194,245,70,9,31,55,7,34,19,15,258,35,46,335,319,36,24,28,60,164,27,25,83,163,948,3,56,78,61,172,40,199,108,16,76,90,0,280,12,25,49,48,158,5,5,12,4,1525,8,14,302,1242,a
923,538,604,640,541,281,6,472,500,892,4,35,12,-3,63,42,80,25,25,35,8,17,31,16,12,10,34,14,37,33,26,105,15,121,78,8,82,159,99,329,108,8,349,178,35,388,17,11,133,214,180,41,417,50,64,45,20,14,131,42,56,357,340,13,24,26,57,133,32,40,178,115,824,227,82,88,43,415,63,166,194,29,43,81,3,208,41,22,153,36,323,17,12,17,0,918,19,14,164,991,a
1025,180,-11,0,65,9,31,128,-29,-26,-22,198,109,-14,-88,-23,69,-7,35,-19,-1,55,-1,27,41,-6,40,-1,-3,23,103,35,-25,68,0,-20,307,5,67,478,31,-2,44,-31,-9,138,11,-5,86,174,149,0,-27,-21,-23,-10,14,0,458,2,82,222,-4,18,6,-36,105,134,30,41,29,313,641,-68,-7,49,81,57,35,152,16,10,100,47,48,109,-24,-19,44,0,16,-24,-33,22,-2,742,-19,5,-35,-11,a
1022,331,147,158,482,95,38,139,264,391,4,76,47,27,93,27,51,24,-6,8,-17,28,10,22,-2,5,60,-13,5,34,56,25,0,159,65,14,164,119,123,268,54,6,109,63,20,227,24,20,187,244,116,-1,99,107,2,28,0,5,249,32,57,417,249,16,7,3,86,134,26,13,58,241,1402,18,36,84,51,317,46,167,107,22,38,102,19,186,25,10,45,20,197,18,5,18,19,1040,-6,-8,486,1832,a
