0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,class
-36.6,18.3,-37.7,3.3,92.8,4.7,54.5,7.3,38.7,6.6,17.4,20.7,18.3,23.7,-22.9,6.2,4549.3,1.3,138.8,382.1,160.2,292.4,-97.4,-26.1,213.0,-14.7,722.5,895.8,157.8,706.8,638.4,83.0,7.0,46.8,202.3,1701.2,25.3,117.5,6.8,5.3,3.7,370.9,-65.7,96.3,88.2,202.9,57.7,21.0,7.8,-33.7,a
-36.8,37.9,-6.4,0.7,105.1,2.9,12.0,-4.8,47.2,-3.3,10.8,-10.9,22.3,11.8,87.4,20.5,1658.7,-10.8,110.0,410.6,186.1,187.5,121.2,-33.7,142.3,-23.3,624.3,922.8,103.1,1239.1,663.0,98.4,21.6,36.1,254.4,1445.2,7.7,90.0,14.5,-19.6,-6.3,389.3,-17.2,62.7,48.5,273.9,72.9,47.8,4.5,-8.1,a
-34.7,33.9,-49.3,18.1,47.5,6.9,38.6,16.6,43.7,10.4,6.5,48.3,34.5,10.0,-45.6,50.8,4634.3,-1.9,101.5,386.5,228.3,251.6,-160.1,-17.9,189.8,-9.7,640.0,906.7,89.3,982.3,302.1,97.0,14.9,31.8,204.0,1897.8,7.5,214.2,4.2,116.2,-2.8,285.9,-128.2,75.7,43.5,135.2,86.5,23.4,13.0,-27.4,a
-45.8,28.4,9.9,3.8,98.9,-3.9,41.3,6.2,57.5,31.5,18.9,-14.1,22.6,7.2,88.0,73.3,2342.8,-1.8,78.2,251.9,177.7,304.1,60.3,-19.6,207.8,-31.2,668.3,1117.2,219.6,1352.3,344.2,118.2,20.2,-31.3,121.9,1137.8,7.9,125.5,-0.9,181.8,0.0,268.3,-114.8,78.1,34.8,190.2,57.6,50.5,14.6,-45.6,a
-47.1,38.5,3.5,2.7,82.9,7.0,26.7,-18.6,56.4,31.8,23.3,63.3,56.3,20.7,102.2,5.2,4182.3,-25.7,99.5,318.9,218.5,275.4,-38.7,14.9,188.1,-16.6,821.6,1177.0,123.7,616.1,351.9,128.5,20.4,2.8,184.6,1717.7,2.6,79.6,4.5,125.3,15.2,289.3,-133.4,76.3,52.2,72.6,102.1,48.6,6.1,-28.4,a
-39.8,15.6,24.0,6.2,64.2,6.5,32.8,11.3,35.4,11.2,22.9,95.2,18.9,74.7,81.4,142.6,3509.6,16.0,79.6,193.9,148.9,309.0,62.2,-13.3,165.1,-27.8,933.3,1114.7,230.1,785.8,342.3,216.2,107.3,31.4,96.2,2405.7,8.7,136.0,6.2,139.4,4.1,264.2,-128.9,75.8,50.4,53.7,152.4,59.0,14.6,-2.3,a
-37.2,39.6,34.3,10.3,44.9,60.6,69.7,0.3,58.2,45.6,24.0,17.7,23.0,6.8,86.8,125.0,2138.1,16.3,72.5,259.1,221.4,200.8,87.1,-25.5,126.5,-12.0,479.0,1128.7,134.8,639.5,411.7,112.0,-1.5,36.0,282.4,1725.5,26.7,223.5,2.1,131.3,4.8,289.0,-89.6,72.8,55.1,186.0,85.3,35.1,-1.6,-12.6,a
-63.5,-1.3,-42.6,23.2,25.0,4.3,40.0,-24.6,19.8,2.6,-5.8,127.5,25.6,-6.4,14.3,96.3,5879.6,-27.6,126.3,429.2,245.1,197.6,-190.3,-28.1,170.1,-13.6,658.6,1001.9,152.4,1312.9,426.6,108.0,16.0,-27.6,173.5,1909.5,8.8,137.3,3.9,108.8,-0.1,357.5,-151.7,88.8,45.3,131.7,49.5,15.1,3.1,-10.4,a
-80.9,34.0,-52.3,6.4,72.1,5.6,66.5,4.6,58.2,59.7,8.1,32.9,23.2,12.8,9.5,-15.6,2029.8,-4.6,108.7,390.1,227.6,243.7,-171.1,-30.4,205.6,-10.0,543.7,613.1,147.4,841.4,542.0,92.1,16.1,13.8,200.4,1643.2,42.2,84.4,19.8,38.7,-2.2,270.6,-56.4,74.1,85.3,142.4,78.6,25.3,3.8,-13.8,a
-51.1,21.9,-2.0,12.3,40.0,71.9,112.0,-5.1,46.2,84.1,-0.9,44.3,30.4,13.9,16.6,38.2,-149.8,13.4,96.1,336.9,395.6,326.9,-221.6,-41.4,148.0,-17.3,467.9,933.5,191.1,927.4,281.4,113.1,13.2,22.3,328.0,1280.4,37.8,281.2,13.7,80.8,2.4,242.3,-177.3,129.3,90.4,195.0,91.7,8.9,0.3,-41.9,b
-48.6,37.8,-20.4,-2.4,35.3,12.0,73.6,-0.5,65.7,73.3,22.3,-3.7,33.4,29.9,95.0,87.0,-150.5,-16.3,154.1,541.7,163.9,114.4,-69.8,-19.2,182.5,-18.2,355.0,1051.5,140.5,1145.1,690.8,98.3,10.8,18.0,209.2,1283.7,15.8,177.9,15.9,-30.7,1.8,435.3,-28.4,95.0,58.8,108.6,68.4,21.8,7.3,-15.6,b
-48.1,6.2,2.6,12.9,41.0,-2.1,86.0,-19.2,54.5,9.7,29.2,40.3,31.2,14.8,24.7,37.5,916.8,16.9,117.3,379.7,288.8,274.5,-144.1,-36.6,261.1,-17.9,525.1,1033.3,196.4,1124.2,454.9,69.2,28.0,-2.7,204.7,1528.4,33.9,258.3,6.4,-51.2,15.5,414.9,-56.9,116.9,93.5,96.2,88.6,37.5,-6.5,-20.7,b
-31.7,11.0,-4.1,-2.4,42.5,2.4,63.7,-1.4,66.1,-9.5,43.1,10.9,74.6,5.2,70.7,109.6,-150.8,19.1,140.1,381.0,222.2,219.3,6.7,-26.0,226.3,-12.1,495.2,949.7,100.9,892.7,984.9,65.7,7.9,17.1,226.0,1220.8,11.5,165.9,8.9,4.4,5.6,328.1,-21.2,89.3,96.2,133.0,76.0,3.4,-0.1,-9.8,b
-39.1,16.6,-26.7,3.9,91.8,3.6,50.1,4.8,20.9,27.1,26.5,38.8,44.3,3.2,90.5,-2.9,-200.9,-61.0,122.9,546.3,190.3,230.5,-118.6,-24.5,147.2,-15.4,330.1,1037.5,105.5,718.8,485.9,29.3,-1.4,22.5,171.8,1313.1,33.2,127.7,9.4,-57.2,8.0,338.4,-23.8,50.4,60.2,503.3,56.0,1.6,9.2,17.0,b
