@relation Leukaemiamattest

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute class {a,b}

@data
-208,122,1965,161,3767,610,571,5418,3282,-44,365,56,330,261,303,2187,3863,5565,1410,435,468,-283,2150,4778,782,958,9326,44,160,177,-267,3016,242,524,631,124,298,1656,8444,3105,1584,398,1284,1372,2911,601,-70,-231,2323,1320,a
334,227,198,588,2890,927,2893,17348,1627,52,624,-29,811,101,1358,6,511,5318,2325,286,1121,-65,-512,2700,368,926,895,146,204,3460,421,3424,667,1074,739,520,307,-10,1920,1118,6035,908,540,1585,575,435,364,322,1238,898,a
-386,272,579,207,5996,1697,2723,6156,2783,-116,108,-109,212,309,254,5,1952,2584,2789,623,595,-395,-1046,4926,1268,812,628,110,51,416,-1046,7724,419,485,106,232,309,-91,3118,4543,10435,906,236,747,905,547,-208,-452,1982,597,a
366,46,4881,82,2810,425,731,7070,1544,70,873,-62,584,288,-304,123,6127,11689,1132,409,527,-367,1624,5403,882,907,5314,86,239,392,5,3821,-100,370,352,21,693,166,4261,5467,-45,763,786,2358,2038,472,34,-297,3947,1644,a
408,449,3383,337,2206,529,649,9017,1896,151,686,938,1018,395,-86,95,2547,10308,1269,216,1125,290,2986,3440,949,1447,5354,104,360,7972,484,5216,918,1242,2028,216,713,405,3425,3469,1583,201,968,1985,1871,661,218,302,3324,1322,a
200,51,3,200,3881,1682,1858,6221,2372,-14,302,88,206,58,1168,51,1804,2647,1854,279,538,-40,-508,3179,910,677,282,10,-56,597,-743,4194,321,736,17,-140,247,-14,1790,3309,10205,620,368,887,634,337,401,-10,1710,787,a
381,124,1507,55,3723,386,280,4746,613,18,325,-78,655,84,-233,221,1129,9428,2735,586,554,-366,1198,3978,826,951,5146,105,85,403,-189,5528,-220,811,245,-151,52,-11,3810,3936,307,672,344,478,2364,309,255,-194,1488,946,a
-215,52,1248,121,4072,629,1716,7881,4066,-38,244,-257,-187,251,-247,85,1412,4742,1962,335,608,-656,1797,3293,1302,967,4048,104,61,140,-247,2073,-215,371,281,145,-215,524,6153,4745,233,1478,-196,1061,1409,263,-100,-320,2215,1917,a
-322,539,41,127,7439,2760,2388,9431,1391,-46,273,-35,1176,155,336,-4,5817,5522,2900,516,1082,-231,-597,7324,1337,1052,423,103,101,848,-548,7782,691,1002,621,99,-223,-4,3303,4081,11375,1184,310,5668,644,978,521,-57,3420,1440,a
36,186,365,272,4791,1722,913,5092,972,16,144,392,100,167,498,-35,769,3093,1855,288,409,-36,-521,2676,82,1250,585,64,68,1094,-408,5204,320,711,381,265,492,-26,1329,1658,10110,1142,260,1763,358,752,-169,19,723,442,a
-163,329,39,37,4406,1587,2147,6027,780,-3,34,16,164,140,-376,-124,1704,4194,1471,312,633,-152,-565,6134,737,872,147,93,62,1343,-504,6541,140,366,373,-55,-25,66,2525,2853,5598,615,210,2685,500,897,-276,-233,703,617,a
448,58,712,306,1379,169,140,15280,2433,191,399,1452,446,287,107,-80,363,4101,1763,298,633,41,676,2056,1296,1093,2504,33,474,5252,-159,846,879,362,626,478,408,44,1277,551,639,889,146,1638,1119,334,252,-122,672,474,a
-102,544,7509,44,6964,719,556,6183,9811,-4,281,22,196,152,-97,351,1515,7747,786,263,991,-104,2827,10669,160,1075,5075,61,292,2408,495,7743,200,973,712,124,724,530,6216,4746,5125,875,825,822,1473,668,4,-184,3260,1969,a
153,339,26,328,2056,859,1483,13077,257,14,589,93,1216,145,820,-146,3854,3076,2337,377,623,-140,-472,1912,838,553,155,986,34,2525,-298,1756,946,878,800,232,360,0,3382,1534,2653,453,513,4194,408,265,493,694,5964,686,a
195,281,5394,128,3688,661,1505,8506,6270,35,854,333,664,81,76,726,4436,10614,2035,179,1079,-198,2748,9211,520,1057,5767,46,153,2133,818,7288,408,933,704,108,938,443,5831,5311,1717,751,440,3420,2239,898,114,-199,6147,2572,a
9,216,3809,133,2976,1034,904,3720,6845,-34,289,3562,295,202,36,643,2206,6737,1910,353,651,-102,2335,3345,478,871,3649,30,86,1232,-311,6084,-14,467,537,53,848,1016,5617,4326,512,192,94,7430,1981,666,-91,-42,3774,1439,a
192,145,-68,71,3182,447,643,12676,1234,1214,534,1441,1080,286,375,-260,754,4371,4215,311,2028,-158,-660,2360,7,5157,218,3107,1136,1150,400,2455,2127,1647,648,235,926,-161,3714,7155,4639,852,3755,1300,409,374,78,-91,3511,989,a
-182,-1,19,-7,2209,252,669,9783,-135,10,540,184,327,141,22,-32,27,3990,711,193,505,-76,800,1316,-144,581,3339,85,4,1232,-445,1273,463,1017,345,20,390,1110,1616,1178,119,59,173,1331,1046,516,-163,-106,1654,1186,a
-114,187,67,69,2580,1041,1137,4453,7686,76,44,478,228,155,-180,184,473,4553,1346,171,358,-108,1869,2492,45,894,2696,2,141,1519,-267,6482,-23,366,364,150,615,962,4692,3427,2176,520,265,2022,3210,473,-196,-139,2352,1224,a
-52,1398,1105,-9,10857,1717,3810,13988,10926,-49,616,379,1475,180,205,1762,4409,12747,2273,215,1239,-58,6169,6464,-862,1868,8148,78,109,180,233,7629,-57,947,1029,-216,827,1501,11241,6870,2175,524,897,1409,4072,1487,-345,-118,4281,4555,a
-131,553,9453,126,1535,604,1631,2900,1830,33,447,-64,449,139,-124,11,1536,11199,545,262,1295,-151,-268,524,343,684,2805,41,57,1912,-233,5746,-189,203,748,161,68,247,9114,9177,814,884,347,928,1069,688,82,-131,-88,2707,a
172,-7,4328,43,4624,304,857,6074,219,-3,239,51,130,124,-102,23,678,7910,949,313,844,-243,397,3253,678,623,5397,-37,88,354,-370,699,-103,717,549,210,122,62,2572,4836,643,741,258,464,1878,143,-175,-231,1075,274,a
186,150,-11,77,3710,397,813,3729,807,24,9,-36,131,108,425,66,2103,4316,1297,391,469,-275,-518,3796,1177,530,870,53,30,178,-896,2443,-7,509,85,127,-108,-123,1601,3085,2933,351,311,1320,685,376,121,-226,834,590,a
177,298,4110,177,5079,642,899,6023,1628,15,515,59,534,102,-205,48,1478,14682,1343,374,706,-263,1652,4093,734,1333,5955,64,97,1687,604,3840,445,624,773,188,222,117,6110,5815,38,712,593,2071,1967,531,-183,-133,1826,1823,a
