@relation MLLmattest

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute class {a,c,b}

@data
-79.2,1019,1682.7,3664.6,10358.4,6235,15880.4,1581,581.6,1586,1301.8,8280.1,2493.2,5773.4,1702.9,2273.2,6159.3,2506,279.1,-71.4,2023.1,1217.5,-111,4103.4,4788.7,1825.6,2045.2,18639.7,5542,-42.2,8242.6,18531,5070.2,294,4950.5,2417.3,160.9,2061.6,9727.4,6045.6,101.8,4481.8,15467.9,9452.4,611.5,3962.3,11899.3,5762.3,14650.4,2862.5,a
-11,535,4313,2481,10999,3842,20335,1143,989,769,3134,12104,3294,19084,2965,1575,10279,968,2918,-269,5041,1031,1225,3407,6873,1607,4226,15825,9464,27,11743,19789,8880,260,8112,4224,48,1875,12765,13252,123,7226,14835,8107,372,14207,18691,8657,13881,3776,a
-71,719,4257,715,2006,1149,2423,1311,57,190,548,1257,2194,2892,2107,1301,87,1422,239,-236,961,531,92,736,3863,455,488,13956,864,429,1826,6718,1925,335,13982,671,109,2718,5942,2656,67,1950,4416,3600,-1508,2608,3461,6102,5536,1319,a
109,1936,3075,1280,3542,8709,20775,2647,471,1884,3602,4307,5166,3582,7773,1692,9210,1082,3781,-331,4774,779,1908,786,5550,2650,1829,19978,6503,-62,4540,12524,3730,17,7702,1152,720,2367,6033,11515,167,9181,16349,7919,-669,3163,5753,8506,13408,2926,a
-146,761,1634,1148,2363,7685,22301,1435,298,127,3810,2025,2470,3817,1223,599,5513,965,974,-96,3766,46,17,3025,9112,388,1802,20831,4608,36,6599,21274,3096,331,6703,1620,180,1499,4484,7486,189,8046,20824,7254,3653,3042,14747,6016,5817,6354,a
-37,775,5019,2024,8181,4733,22521,1550,660,1756,-159,7357,2936,22033,1938,1088,13944,772,2032,-265,4756,1566,2578,2151,4438,1982,1917,20191,4941,32,10242,22231,6034,345,8225,2062,-40,1504,6720,12742,134,9995,9304,6354,-851,18983,15645,8480,14513,4808,a
-181,1337,4190,2002,8134,6602,24855,2359,638,2234,2167,14592,2611,13995,4024,1226,10307,3365,387,-78,3271,2173,19,4509,13886,3017,2640,20016,4451,45,11019,20350,8132,278,12850,5246,34,1839,10401,6393,90,7802,19437,9789,4703,11529,14375,10323,16957,3168,a
-547,508,2870,1461,5714,4537,21399,2495,586,1683,-56,13382,2952,10182,4513,734,10423,1583,263,-284,2320,1747,1603,3560,8449,1784,2132,21114,5766,1058,7726,18337,7298,607,11271,4414,172,1626,8238,8572,183,4738,18321,8758,1117,9779,10973,9638,15170,5568,a
-92,288,11396,619,2208,10261,29683,1825,1691,417,3446,1763,30229,2578,2002,1366,3212,896,183,-73,3574,1658,569,4412,4753,275,1238,20166,3868,85,2977,11457,4916,419,9333,2039,115,893,9133,8268,62,3664,7822,8903,-130,3268,22704,7686,18762,4000,a
-306,2617,2571,1518,2008,14075,21932,2685,703,267,6192,3311,4989,6404,2073,790,5560,612,4958,-135,4617,2096,2830,2472,4525,1750,2557,21010,7238,189,6201,15486,5256,131,5862,1504,38,1034,9096,16360,462,8883,6895,7230,-1569,6646,18527,7508,7968,5668,a
