0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,class
-79.2,1019.0,1682.7,3664.6,10358.4,6235.0,15880.4,1581.0,581.6,1586.0,1301.8,8280.1,2493.2,5773.4,1702.9,2273.2,6159.3,2506.0,279.1,-71.4,2023.1,1217.5,-111.0,4103.4,4788.7,1825.6,2045.2,18639.7,5542.0,-42.2,8242.6,18531.0,5070.2,294.0,4950.5,2417.3,160.9,2061.6,9727.4,6045.6,101.8,4481.8,15467.9,9452.4,611.5,3962.3,11899.3,5762.3,14650.4,2862.5,a
-11.0,535.0,4313.0,2481.0,10999.0,3842.0,20335.0,1143.0,989.0,769.0,3134.0,12104.0,3294.0,19084.0,2965.0,1575.0,10279.0,968.0,2918.0,-269.0,5041.0,1031.0,1225.0,3407.0,6873.0,1607.0,4226.0,15825.0,9464.0,27.0,11743.0,19789.0,8880.0,260.0,8112.0,4224.0,48.0,1875.0,12765.0,13252.0,123.0,7226.0,14835.0,8107.0,372.0,14207.0,18691.0,8657.0,13881.0,3776.0,a
-71.0,719.0,4257.0,715.0,2006.0,1149.0,2423.0,1311.0,57.0,190.0,548.0,1257.0,2194.0,2892.0,2107.0,1301.0,87.0,1422.0,239.0,-236.0,961.0,531.0,92.0,736.0,3863.0,455.0,488.0,13956.0,864.0,429.0,1826.0,6718.0,1925.0,335.0,13982.0,671.0,109.0,2718.0,5942.0,2656.0,67.0,1950.0,4416.0,3600.0,-1508.0,2608.0,3461.0,6102.0,5536.0,1319.0,a
109.0,1936.0,3075.0,1280.0,3542.0,8709.0,20775.0,2647.0,471.0,1884.0,3602.0,4307.0,5166.0,3582.0,7773.0,1692.0,9210.0,1082.0,3781.0,-331.0,4774.0,779.0,1908.0,786.0,5550.0,2650.0,1829.0,19978.0,6503.0,-62.0,4540.0,12524.0,3730.0,17.0,7702.0,1152.0,720.0,2367.0,6033.0,11515.0,167.0,9181.0,16349.0,7919.0,-669.0,3163.0,5753.0,8506.0,13408.0,2926.0,a
-146.0,761.0,1634.0,1148.0,2363.0,7685.0,22301.0,1435.0,298.0,127.0,3810.0,2025.0,2470.0,3817.0,1223.0,599.0,5513.0,965.0,974.0,-96.0,3766.0,46.0,17.0,3025.0,9112.0,388.0,1802.0,20831.0,4608.0,36.0,6599.0,21274.0,3096.0,331.0,6703.0,1620.0,180.0,1499.0,4484.0,7486.0,189.0,8046.0,20824.0,7254.0,3653.0,3042.0,14747.0,6016.0,5817.0,6354.0,a
-37.0,775.0,5019.0,2024.0,8181.0,4733.0,22521.0,1550.0,660.0,1756.0,-159.0,7357.0,2936.0,22033.0,1938.0,1088.0,13944.0,772.0,2032.0,-265.0,4756.0,1566.0,2578.0,2151.0,4438.0,1982.0,1917.0,20191.0,4941.0,32.0,10242.0,22231.0,6034.0,345.0,8225.0,2062.0,-40.0,1504.0,6720.0,12742.0,134.0,9995.0,9304.0,6354.0,-851.0,18983.0,15645.0,8480.0,14513.0,4808.0,a
-181.0,1337.0,4190.0,2002.0,8134.0,6602.0,24855.0,2359.0,638.0,2234.0,2167.0,14592.0,2611.0,13995.0,4024.0,1226.0,10307.0,3365.0,387.0,-78.0,3271.0,2173.0,19.0,4509.0,13886.0,3017.0,2640.0,20016.0,4451.0,45.0,11019.0,20350.0,8132.0,278.0,12850.0,5246.0,34.0,1839.0,10401.0,6393.0,90.0,7802.0,19437.0,9789.0,4703.0,11529.0,14375.0,10323.0,16957.0,3168.0,a
-547.0,508.0,2870.0,1461.0,5714.0,4537.0,21399.0,2495.0,586.0,1683.0,-56.0,13382.0,2952.0,10182.0,4513.0,734.0,10423.0,1583.0,263.0,-284.0,2320.0,1747.0,1603.0,3560.0,8449.0,1784.0,2132.0,21114.0,5766.0,1058.0,7726.0,18337.0,7298.0,607.0,11271.0,4414.0,172.0,1626.0,8238.0,8572.0,183.0,4738.0,18321.0,8758.0,1117.0,9779.0,10973.0,9638.0,15170.0,5568.0,a
-92.0,288.0,11396.0,619.0,2208.0,10261.0,29683.0,1825.0,1691.0,417.0,3446.0,1763.0,30229.0,2578.0,2002.0,1366.0,3212.0,896.0,183.0,-73.0,3574.0,1658.0,569.0,4412.0,4753.0,275.0,1238.0,20166.0,3868.0,85.0,2977.0,11457.0,4916.0,419.0,9333.0,2039.0,115.0,893.0,9133.0,8268.0,62.0,3664.0,7822.0,8903.0,-130.0,3268.0,22704.0,7686.0,18762.0,4000.0,a
-306.0,2617.0,2571.0,1518.0,2008.0,14075.0,21932.0,2685.0,703.0,267.0,6192.0,3311.0,4989.0,6404.0,2073.0,790.0,5560.0,612.0,4958.0,-135.0,4617.0,2096.0,2830.0,2472.0,4525.0,1750.0,2557.0,21010.0,7238.0,189.0,6201.0,15486.0,5256.0,131.0,5862.0,1504.0,38.0,1034.0,9096.0,16360.0,462.0,8883.0,6895.0,7230.0,-1569.0,6646.0,18527.0,7508.0,7968.0,5668.0,a
