0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,class
546,891,726,955,433,1494,8811,771,-113,1338,6921,829,4413,1726,748,67,2049,5011,162,229,287,373,-28,1206,145,1711,672,79,2957,14742,1473,2998,7578,520,1010,-20,7454,1673,179,156,743,3037,332,1081,1224,7502,237,12813,593,39,a
234,811,1460,1884,471,3449,9802,940,1256,1024,10405,2198,10383,399,1571,-57,2999,13372,1258,139,848,192,691,2624,116,5174,790,305,678,12641,2243,2097,11102,1842,3072,382,10339,2990,424,-12,804,731,27,2618,2472,16768,1542,13190,738,17,a
839,791,1378,1488,643,3889,8535,789,635,1267,8512,4870,9152,1908,2883,416,2335,11535,1966,349,601,429,-99,2752,223,3476,972,113,4909,12730,2204,2563,11284,1781,5374,442,13452,1693,675,-48,330,1156,292,1987,2791,19206,534,13540,1555,13,a
370,807,368,1067,398,3380,5867,640,281,1007,10594,1206,3800,279,1446,716,1144,10640,672,327,634,172,331,1095,190,2884,930,269,799,9872,2259,3636,9979,1120,2949,107,7248,981,238,-73,493,430,132,767,2757,10944,505,17157,1003,37,a
564,2396,193,1272,965,3890,5109,1050,-444,1201,824,198,3905,914,3065,657,2261,2654,294,672,424,487,152,2492,384,2353,804,81,1493,18742,1209,3282,4553,869,1373,242,3168,987,692,-82,227,908,334,728,1480,7238,511,12063,516,2,a
556,1750,799,2563,650,2875,9054,1153,735,2001,14710,2251,9065,857,2477,52,2944,15061,1412,341,1308,266,964,2328,285,3641,673,397,2899,11217,1762,3629,13584,1892,5534,210,9640,2818,436,42,640,890,500,1719,2355,17948,291,14997,1952,-5,a
361,1478,793,2408,1899,6331,8267,1567,407,3715,7720,646,17809,316,2801,-205,2096,8993,88,133,1193,309,1001,3301,165,2044,572,734,1894,11148,3661,4845,21846,2170,4416,470,8746,838,269,-54,974,601,76,1865,2367,5420,253,18949,1469,40,a
428,1331,410,1368,362,3612,5930,967,129,1243,5600,1104,11191,552,1491,184,2688,4841,496,182,789,309,226,1374,342,2151,629,244,2458,1030,2068,4053,7898,1274,1171,136,6839,1247,163,95,535,877,299,1589,1641,4063,479,12873,1653,175,a
680,1087,293,4836,988,7795,8761,3598,-11,4326,4577,256,10917,1196,3068,121,3065,6837,-79,145,1392,682,1275,4029,125,1852,402,497,1426,9841,1330,6417,7082,1097,1438,152,9582,1819,310,181,316,781,355,3398,1270,6111,758,12390,1243,12,a
263,481,1511,1603,344,4208,9746,685,1570,650,13139,2342,10307,553,1874,5,3390,13274,1685,194,714,247,526,1628,198,5582,644,292,855,14099,2069,2739,12693,1876,3226,462,10015,3429,445,158,1093,926,110,3329,3056,18791,1589,12985,1020,0,a
408,1312,90,1135,535,5578,5344,466,-786,1248,1340,222,10767,692,1642,218,1223,6016,-249,725,437,61,347,1563,431,1434,742,314,1369,6672,2000,1772,9058,1640,2185,163,6108,832,314,-95,354,940,42,1024,3658,2516,1615,13887,1590,26,a
