@relation prostatemattest

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute class {a,b}

@data
1010.8,445.3,610.1,578.3,152.1,360.3,4.8,-27,33.1,22.8,28.6,19,27.9,58,19.6,17.5,130.4,38.5,811.2,235,9.3,229.7,105.5,153.1,18.8,73,7.7,43.4,44.2,188.5,4.3,27.9,24.6,147.7,524.8,2.2,69.1,24.9,113.7,171.2,51,31.3,63.5,0.9,78.4,410,26.1,5.5,28.8,224.3,a
674,441,629,632,274,442,14,-8,51,27,21,28,20,87,80,36,102,115,274,109,20,288,213,270,19,148,25,53,50,183,40,65,133,91,787,427,59,61,456,136,137,36,96,35,163,465,16,20,23,187,a
958,143,0,347,36,160,-11,57,58,9,-5,32,26,105,2,-10,307,64,438,26,-3,72,38,151,2,97,-1,75,-23,113,9,17,32,259,419,-31,0,30,76,183,55,0,63,1,61,58,4,-7,8,227,a
1128,242,365,550,200,266,-6,-60,65,9,19,20,28,39,41,6,170,87,388,84,10,96,47,147,3,95,23,90,8,141,9,37,27,141,687,-32,73,39,106,139,37,23,54,-14,86,232,14,13,11,52,a
1673,176,226,1044,95,179,-14,-34,66,17,0,21,-4,65,54,10,203,209,308,70,18,88,84,228,-7,96,-1,70,21,117,5,1,177,239,519,-25,19,54,165,120,65,35,61,-1,22,110,3,-16,5,40,a
1178,248,424,794,284,452,-3,-60,36,19,-3,14,19,36,38,1,162,242,276,24,5,102,48,220,23,88,0,55,24,118,1,24,119,202,330,3,50,70,252,119,70,35,71,-16,68,187,13,0,9,138,a
1116,233,9,157,4,79,-16,64,46,-3,27,13,17,81,15,5,171,4,412,126,13,58,79,192,6,194,-9,44,14,125,-5,36,-9,279,441,-43,44,1,133,196,53,17,56,-48,50,73,-25,-18,14,234,a
968,464,627,738,311,429,-2,28,18,14,18,15,14,46,37,15,112,142,432,101,14,222,163,180,12,92,19,53,16,152,6,34,84,203,778,35,70,30,221,144,46,34,55,11,44,409,2,5,23,163,a
944,-7,-19,-127,-62,138,-14,-102,98,58,-14,-19,15,70,0,-1,222,-5,410,25,3,7,-22,63,2,118,-2,55,-42,82,15,17,7,278,588,-55,10,4,64,183,58,-12,66,-11,97,-29,24,7,8,32,a
1122,46,10,72,-60,101,-15,-69,71,-6,-18,2,8,103,11,-11,345,11,512,16,10,9,10,80,2,124,1,89,-15,118,8,16,60,278,553,-61,-17,22,75,215,83,-8,60,5,39,5,-8,0,11,39,a
1887,92,551,644,257,173,4,-20,54,17,23,17,19,28,46,16,108,92,706,191,23,137,228,198,13,191,7,51,23,238,13,43,125,241,787,-15,55,30,196,118,30,46,87,11,49,278,15,0,18,178,a
1707,156,325,357,146,111,8,29,44,19,25,13,8,45,79,7,218,108,388,84,15,144,112,250,13,194,9,46,28,164,27,25,83,163,948,3,56,61,172,199,108,16,90,12,49,158,12,8,14,302,a
923,604,640,541,281,472,4,-18,63,25,35,12,10,26,78,8,82,159,329,108,9,349,178,388,17,133,41,56,26,133,32,40,178,115,824,227,82,43,415,166,194,29,81,41,153,323,17,19,14,164,a
1025,-11,0,65,9,128,-22,105,-88,-7,-19,41,-6,103,0,-20,307,5,478,31,0,44,-31,138,11,86,0,82,-36,134,30,41,29,313,641,-68,-7,81,57,152,16,10,47,-24,44,16,22,-19,5,-35,a
1022,147,158,482,95,139,4,-54,93,24,8,-2,5,56,65,14,164,119,268,54,8,109,63,227,24,187,-1,57,3,134,26,13,58,241,1402,18,36,51,317,167,107,22,102,25,45,197,18,-6,-8,486,a
1170,228,14,127,-24,61,-9,-147,24,11,-25,12,-20,40,11,0,165,3,334,114,8,27,46,101,14,158,-21,71,6,138,-8,15,5,235,464,-63,61,50,79,165,54,11,72,-24,75,56,13,-19,10,260,a
894,44,1,-69,-19,69,-6,-71,-21,18,7,4,22,69,-21,-28,207,-1,430,21,7,65,-29,158,5,101,4,68,-31,99,24,0,20,266,547,-68,47,42,60,184,58,-8,66,3,48,-2,9,3,-32,-3,a
1479,121,121,312,75,79,-5,25,62,8,19,20,3,58,44,14,190,61,466,67,12,69,87,233,16,159,9,43,17,117,15,26,40,221,849,-42,49,32,146,172,73,17,88,24,68,120,7,4,5,327,a
1235,141,28,106,-21,151,4,-119,38,43,15,-18,0,86,10,-8,190,3,317,58,8,48,39,165,-10,110,34,78,0,145,28,-1,11,268,509,42,-1,1,86,193,17,13,82,8,93,57,-2,3,6,135,a
1086,894,1009,1070,464,611,0,-8,28,10,35,14,79,39,35,23,31,130,380,163,12,261,163,280,11,44,11,55,19,176,5,23,90,116,651,236,162,28,251,63,44,44,36,1,92,483,8,3,24,53,a
1118,633,626,652,213,426,8,-22,44,23,40,35,11,38,35,14,104,41,496,159,14,293,122,197,19,141,3,717,22,144,27,31,52,209,2168,1389,42,62,424,126,4,15,60,74,29,475,44,16,51,250,a
941,8,12,-86,-51,95,-19,-83,69,9,12,29,7,56,-6,-13,323,5,374,19,10,0,-17,149,0,91,-24,80,-21,107,2,34,30,262,498,-65,-11,32,62,277,62,-11,75,-14,49,34,-16,-17,7,267,a
821,549,694,527,259,436,0,-16,17,31,16,21,20,66,31,13,75,81,404,121,5,193,109,156,15,101,22,50,27,149,6,33,33,140,872,149,103,43,222,199,67,22,68,8,55,366,12,7,26,141,a
778,442,685,507,216,427,-5,-29,49,23,16,27,2,41,55,8,94,117,342,88,26,212,113,170,14,275,21,54,24,130,33,35,165,128,698,124,41,28,246,184,58,22,63,44,74,404,8,7,8,148,a
1211,176,594,554,258,258,7,-15,37,26,23,16,35,26,50,46,80,161,470,184,14,204,220,193,19,183,37,46,64,194,33,60,147,186,897,128,52,46,149,171,17,36,125,44,58,315,13,14,35,155,a
1116,292,541,576,193,257,11,0,36,25,17,15,19,26,40,40,62,95,469,157,14,200,209,156,19,125,26,38,58,135,34,52,76,89,364,4,63,27,89,148,40,40,91,38,43,367,16,14,30,217,a
1403,324,649,671,314,324,10,-25,51,40,26,27,10,42,56,20,107,90,556,207,10,256,234,355,15,105,6,51,37,158,21,49,180,240,1970,371,58,37,432,115,104,32,74,33,79,337,9,13,27,199,a
906,423,531,734,231,438,-5,29,-34,4,26,21,28,47,51,16,59,89,397,103,2,156,146,154,13,88,3,62,32,159,8,38,98,100,637,30,103,28,276,108,54,48,47,8,67,381,7,6,20,82,a
1115,-7,50,-26,-24,48,-11,107,-141,6,-7,-3,12,115,30,-26,122,1,357,3,2,31,-25,116,6,79,-4,71,-18,80,-17,35,36,297,421,-54,-12,12,44,129,13,-8,48,1,91,33,-41,0,21,291,a
1174,454,601,597,254,426,7,-12,39,26,18,23,17,15,55,24,104,72,533,237,27,220,167,214,13,221,18,41,55,213,16,60,122,170,628,181,71,30,302,110,60,34,62,45,143,361,12,14,24,84,a
766,564,519,484,214,492,6,-19,64,27,13,25,2,22,64,7,102,114,351,122,21,227,189,203,13,214,34,42,44,151,34,50,168,65,784,242,64,33,359,178,86,28,63,65,94,317,12,33,8,99,a
