0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,class
1010.8,445.3,610.1,578.3,152.1,360.3,4.8,-27.0,33.1,22.8,28.6,19.0,27.9,58.0,19.6,17.5,130.4,38.5,811.2,235.0,9.3,229.7,105.5,153.1,18.8,73.0,7.7,43.4,44.2,188.5,4.3,27.9,24.6,147.7,524.8,2.2,69.1,24.9,113.7,171.2,51.0,31.3,63.5,0.9,78.4,410.0,26.1,5.5,28.8,224.3,a
674.0,441.0,629.0,632.0,274.0,442.0,14.0,-8.0,51.0,27.0,21.0,28.0,20.0,87.0,80.0,36.0,102.0,115.0,274.0,109.0,20.0,288.0,213.0,270.0,19.0,148.0,25.0,53.0,50.0,183.0,40.0,65.0,133.0,91.0,787.0,427.0,59.0,61.0,456.0,136.0,137.0,36.0,96.0,35.0,163.0,465.0,16.0,20.0,23.0,187.0,a
958.0,143.0,0.0,347.0,36.0,160.0,-11.0,57.0,58.0,9.0,-5.0,32.0,26.0,105.0,2.0,-10.0,307.0,64.0,438.0,26.0,-3.0,72.0,38.0,151.0,2.0,97.0,-1.0,75.0,-23.0,113.0,9.0,17.0,32.0,259.0,419.0,-31.0,0.0,30.0,76.0,183.0,55.0,0.0,63.0,1.0,61.0,58.0,4.0,-7.0,8.0,227.0,a
1128.0,242.0,365.0,550.0,200.0,266.0,-6.0,-60.0,65.0,9.0,19.0,20.0,28.0,39.0,41.0,6.0,170.0,87.0,388.0,84.0,10.0,96.0,47.0,147.0,3.0,95.0,23.0,90.0,8.0,141.0,9.0,37.0,27.0,141.0,687.0,-32.0,73.0,39.0,106.0,139.0,37.0,23.0,54.0,-14.0,86.0,232.0,14.0,13.0,11.0,52.0,a
1673.0,176.0,226.0,1044.0,95.0,179.0,-14.0,-34.0,66.0,17.0,0.0,21.0,-4.0,65.0,54.0,10.0,203.0,209.0,308.0,70.0,18.0,88.0,84.0,228.0,-7.0,96.0,-1.0,70.0,21.0,117.0,5.0,1.0,177.0,239.0,519.0,-25.0,19.0,54.0,165.0,120.0,65.0,35.0,61.0,-1.0,22.0,110.0,3.0,-16.0,5.0,40.0,a
1178.0,248.0,424.0,794.0,284.0,452.0,-3.0,-60.0,36.0,19.0,-3.0,14.0,19.0,36.0,38.0,1.0,162.0,242.0,276.0,24.0,5.0,102.0,48.0,220.0,23.0,88.0,0.0,55.0,24.0,118.0,1.0,24.0,119.0,202.0,330.0,3.0,50.0,70.0,252.0,119.0,70.0,35.0,71.0,-16.0,68.0,187.0,13.0,0.0,9.0,138.0,a
1116.0,233.0,9.0,157.0,4.0,79.0,-16.0,64.0,46.0,-3.0,27.0,13.0,17.0,81.0,15.0,5.0,171.0,4.0,412.0,126.0,13.0,58.0,79.0,192.0,6.0,194.0,-9.0,44.0,14.0,125.0,-5.0,36.0,-9.0,279.0,441.0,-43.0,44.0,1.0,133.0,196.0,53.0,17.0,56.0,-48.0,50.0,73.0,-25.0,-18.0,14.0,234.0,a
968.0,464.0,627.0,738.0,311.0,429.0,-2.0,28.0,18.0,14.0,18.0,15.0,14.0,46.0,37.0,15.0,112.0,142.0,432.0,101.0,14.0,222.0,163.0,180.0,12.0,92.0,19.0,53.0,16.0,152.0,6.0,34.0,84.0,203.0,778.0,35.0,70.0,30.0,221.0,144.0,46.0,34.0,55.0,11.0,44.0,409.0,2.0,5.0,23.0,163.0,a
944.0,-7.0,-19.0,-127.0,-62.0,138.0,-14.0,-102.0,98.0,58.0,-14.0,-19.0,15.0,70.0,0.0,-1.0,222.0,-5.0,410.0,25.0,3.0,7.0,-22.0,63.0,2.0,118.0,-2.0,55.0,-42.0,82.0,15.0,17.0,7.0,278.0,588.0,-55.0,10.0,4.0,64.0,183.0,58.0,-12.0,66.0,-11.0,97.0,-29.0,24.0,7.0,8.0,32.0,a
1122.0,46.0,10.0,72.0,-60.0,101.0,-15.0,-69.0,71.0,-6.0,-18.0,2.0,8.0,103.0,11.0,-11.0,345.0,11.0,512.0,16.0,10.0,9.0,10.0,80.0,2.0,124.0,1.0,89.0,-15.0,118.0,8.0,16.0,60.0,278.0,553.0,-61.0,-17.0,22.0,75.0,215.0,83.0,-8.0,60.0,5.0,39.0,5.0,-8.0,0.0,11.0,39.0,a
1887.0,92.0,551.0,644.0,257.0,173.0,4.0,-20.0,54.0,17.0,23.0,17.0,19.0,28.0,46.0,16.0,108.0,92.0,706.0,191.0,23.0,137.0,228.0,198.0,13.0,191.0,7.0,51.0,23.0,238.0,13.0,43.0,125.0,241.0,787.0,-15.0,55.0,30.0,196.0,118.0,30.0,46.0,87.0,11.0,49.0,278.0,15.0,0.0,18.0,178.0,a
1707.0,156.0,325.0,357.0,146.0,111.0,8.0,29.0,44.0,19.0,25.0,13.0,8.0,45.0,79.0,7.0,218.0,108.0,388.0,84.0,15.0,144.0,112.0,250.0,13.0,194.0,9.0,46.0,28.0,164.0,27.0,25.0,83.0,163.0,948.0,3.0,56.0,61.0,172.0,199.0,108.0,16.0,90.0,12.0,49.0,158.0,12.0,8.0,14.0,302.0,a
923.0,604.0,640.0,541.0,281.0,472.0,4.0,-18.0,63.0,25.0,35.0,12.0,10.0,26.0,78.0,8.0,82.0,159.0,329.0,108.0,9.0,349.0,178.0,388.0,17.0,133.0,41.0,56.0,26.0,133.0,32.0,40.0,178.0,115.0,824.0,227.0,82.0,43.0,415.0,166.0,194.0,29.0,81.0,41.0,153.0,323.0,17.0,19.0,14.0,164.0,a
1025.0,-11.0,0.0,65.0,9.0,128.0,-22.0,105.0,-88.0,-7.0,-19.0,41.0,-6.0,103.0,0.0,-20.0,307.0,5.0,478.0,31.0,0.0,44.0,-31.0,138.0,11.0,86.0,0.0,82.0,-36.0,134.0,30.0,41.0,29.0,313.0,641.0,-68.0,-7.0,81.0,57.0,152.0,16.0,10.0,47.0,-24.0,44.0,16.0,22.0,-19.0,5.0,-35.0,a
1022.0,147.0,158.0,482.0,95.0,139.0,4.0,-54.0,93.0,24.0,8.0,-2.0,5.0,56.0,65.0,14.0,164.0,119.0,268.0,54.0,8.0,109.0,63.0,227.0,24.0,187.0,-1.0,57.0,3.0,134.0,26.0,13.0,58.0,241.0,1402.0,18.0,36.0,51.0,317.0,167.0,107.0,22.0,102.0,25.0,45.0,197.0,18.0,-6.0,-8.0,486.0,a
1170.0,228.0,14.0,127.0,-24.0,61.0,-9.0,-147.0,24.0,11.0,-25.0,12.0,-20.0,40.0,11.0,0.0,165.0,3.0,334.0,114.0,8.0,27.0,46.0,101.0,14.0,158.0,-21.0,71.0,6.0,138.0,-8.0,15.0,5.0,235.0,464.0,-63.0,61.0,50.0,79.0,165.0,54.0,11.0,72.0,-24.0,75.0,56.0,13.0,-19.0,10.0,260.0,a
894.0,44.0,1.0,-69.0,-19.0,69.0,-6.0,-71.0,-21.0,18.0,7.0,4.0,22.0,69.0,-21.0,-28.0,207.0,-1.0,430.0,21.0,7.0,65.0,-29.0,158.0,5.0,101.0,4.0,68.0,-31.0,99.0,24.0,0.0,20.0,266.0,547.0,-68.0,47.0,42.0,60.0,184.0,58.0,-8.0,66.0,3.0,48.0,-2.0,9.0,3.0,-32.0,-3.0,a
1479.0,121.0,121.0,312.0,75.0,79.0,-5.0,25.0,62.0,8.0,19.0,20.0,3.0,58.0,44.0,14.0,190.0,61.0,466.0,67.0,12.0,69.0,87.0,233.0,16.0,159.0,9.0,43.0,17.0,117.0,15.0,26.0,40.0,221.0,849.0,-42.0,49.0,32.0,146.0,172.0,73.0,17.0,88.0,24.0,68.0,120.0,7.0,4.0,5.0,327.0,a
1235.0,141.0,28.0,106.0,-21.0,151.0,4.0,-119.0,38.0,43.0,15.0,-18.0,0.0,86.0,10.0,-8.0,190.0,3.0,317.0,58.0,8.0,48.0,39.0,165.0,-10.0,110.0,34.0,78.0,0.0,145.0,28.0,-1.0,11.0,268.0,509.0,42.0,-1.0,1.0,86.0,193.0,17.0,13.0,82.0,8.0,93.0,57.0,-2.0,3.0,6.0,135.0,a
1086.0,894.0,1009.0,1070.0,464.0,611.0,0.0,-8.0,28.0,10.0,35.0,14.0,79.0,39.0,35.0,23.0,31.0,130.0,380.0,163.0,12.0,261.0,163.0,280.0,11.0,44.0,11.0,55.0,19.0,176.0,5.0,23.0,90.0,116.0,651.0,236.0,162.0,28.0,251.0,63.0,44.0,44.0,36.0,1.0,92.0,483.0,8.0,3.0,24.0,53.0,a
1118.0,633.0,626.0,652.0,213.0,426.0,8.0,-22.0,44.0,23.0,40.0,35.0,11.0,38.0,35.0,14.0,104.0,41.0,496.0,159.0,14.0,293.0,122.0,197.0,19.0,141.0,3.0,717.0,22.0,144.0,27.0,31.0,52.0,209.0,2168.0,1389.0,42.0,62.0,424.0,126.0,4.0,15.0,60.0,74.0,29.0,475.0,44.0,16.0,51.0,250.0,a
941.0,8.0,12.0,-86.0,-51.0,95.0,-19.0,-83.0,69.0,9.0,12.0,29.0,7.0,56.0,-6.0,-13.0,323.0,5.0,374.0,19.0,10.0,0.0,-17.0,149.0,0.0,91.0,-24.0,80.0,-21.0,107.0,2.0,34.0,30.0,262.0,498.0,-65.0,-11.0,32.0,62.0,277.0,62.0,-11.0,75.0,-14.0,49.0,34.0,-16.0,-17.0,7.0,267.0,a
