0,1,2,3,4,5,6,7,8,9,class
92.8,-22.9,1.3,138.8,-97.4,-26.1,213.0,157.8,3.7,88.2,a
105.1,87.4,-10.8,110.0,121.2,-33.7,142.3,103.1,-6.3,48.5,a
47.5,-45.6,-1.9,101.5,-160.1,-17.9,189.8,89.3,-2.8,43.5,a
98.9,88.0,-1.8,78.2,60.3,-19.6,207.8,219.6,0.0,34.8,a
82.9,102.2,-25.7,99.5,-38.7,14.9,188.1,123.7,15.2,52.2,a
64.2,81.4,16.0,79.6,62.2,-13.3,165.1,230.1,4.1,50.4,a
44.9,86.8,16.3,72.5,87.1,-25.5,126.5,134.8,4.8,55.1,a
25.0,14.3,-27.6,126.3,-190.3,-28.1,170.1,152.4,-0.1,45.3,a
72.1,9.5,-4.6,108.7,-171.1,-30.4,205.6,147.4,-2.2,85.3,a
40.0,16.6,13.4,96.1,-221.6,-41.4,148.0,191.1,2.4,90.4,b
35.3,95.0,-16.3,154.1,-69.8,-19.2,182.5,140.5,1.8,58.8,b
41.0,24.7,16.9,117.3,-144.1,-36.6,261.1,196.4,15.5,93.5,b
42.5,70.7,19.1,140.1,6.7,-26.0,226.3,100.9,5.6,96.2,b
91.8,90.5,-61.0,122.9,-118.6,-24.5,147.2,105.5,8.0,60.2,b
36.7,115.8,-17.5,127.1,-143.3,-19.2,94.0,262.9,3.5,108.0,b
59.7,112.8,-5.8,52.4,-177.2,-32.6,261.6,170.4,-0.8,68.9,b
117.9,120.6,17.4,115.6,-421.2,-54.2,223.4,418.3,19.1,121.3,b
91.7,33.0,20.0,74.8,-63.4,-22.5,222.6,221.9,-1.0,41.5,b
55.1,16.1,36.3,110.3,-132.4,-15.3,187.4,211.6,3.0,114.3,b
99.1,-36.8,33.8,120.6,324.1,-21.3,158.4,209.5,6.4,37.8,b
82.2,77.5,12.2,142.9,-42.4,-28.5,221.1,101.4,0.8,99.7,b
113.5,12.6,1.8,117.1,-26.1,-41.2,164.2,170.8,-1.5,51.7,b
102.4,78.4,-31.8,117.8,-22.1,-21.8,188.4,111.9,4.9,66.5,b
170.2,76.6,-34.4,125.7,-245.4,-41.8,259.4,262.5,22.1,82.5,b
43.7,81.0,38.4,144.2,-190.5,-35.1,262.5,183.2,9.5,147.3,b
91.0,22.0,8.0,125.8,-111.3,-33.7,232.9,163.7,5.9,68.1,b
63.7,99.4,-9.0,134.9,-1.6,-17.1,184.0,211.7,9.0,79.0,b
76.1,37.1,25.2,129.7,13.5,-19.3,168.5,140.6,-2.0,41.9,a
40.4,82.6,28.4,101.6,-87.2,-20.0,213.5,81.8,0.3,83.2,a
11.8,83.9,52.7,80.0,136.5,-27.3,276.3,309.9,-3.5,34.6,a
46.3,55.7,-23.8,102.3,-155.7,-60.8,140.2,246.6,-18.3,55.5,a
72.7,86.3,-28.6,123.8,-169.7,-21.8,254.3,160.8,-7.3,33.6,a
45.9,99.2,-26.3,109.1,-87.1,-15.2,212.9,136.8,2.3,111.5,a
53.5,28.4,-15.3,88.8,-7.8,-56.8,175.4,150.4,2.2,39.4,b
140.7,105.8,-37.9,127.7,-168.2,-16.5,163.7,240.1,6.1,39.1,b
61.4,113.2,-27.8,98.5,-164.0,-20.5,223.0,239.5,8.5,37.1,b
34.8,78.1,14.1,92.5,-26.0,-18.1,185.1,210.5,12.1,61.0,b
40.7,54.1,22.7,136.0,-86.6,-31.0,212.8,121.2,-2.8,56.7,a
34.1,106.3,39.7,119.5,-60.6,-16.5,187.0,205.8,3.0,103.1,b
40.3,6.5,-2.3,132.9,39.5,-12.6,173.2,79.2,2.3,41.9,a
28.2,88.5,15.2,135.5,17.8,-14.1,207.8,121.3,-5.9,48.8,a
43.5,78.0,10.3,53.7,-399.8,-91.0,305.8,478.1,23.4,66.2,b
43.5,11.8,-1.5,145.5,-54.3,-22.3,173.5,111.1,4.9,140.5,b
37.9,78.7,-20.4,109.6,-150.1,-18.9,219.0,308.8,-13.0,44.4,a
40.8,70.2,-10.8,166.4,14.7,-18.9,193.0,64.0,0.2,78.5,a
6.0,81.8,-14.7,126.3,-6.5,-37.5,156.7,108.4,6.7,62.9,b
108.5,85.8,15.5,79.3,32.0,-10.3,126.2,151.4,4.4,45.4,a
99.0,15.4,-34.9,106.3,132.5,-12.8,199.0,87.9,-0.9,22.4,a
90.4,89.0,-10.8,100.1,-137.2,-11.4,89.5,115.4,10.3,50.6,a
52.4,28.5,30.8,80.4,-46.1,-35.1,204.7,193.1,-1.3,32.6,b
75.3,89.1,2.1,81.1,-253.6,-3.9,303.5,328.7,4.4,98.2,a
73.9,82.7,-10.9,129.0,161.7,-27.2,118.2,124.3,5.5,35.2,a
31.1,47.1,-11.4,129.9,-88.0,-19.6,206.6,121.3,4.3,90.2,a
21.6,87.2,28.9,105.7,-85.9,-28.2,198.9,65.5,-6.1,63.7,a
