0,1,2,3,4,5,6,7,8,9,class
161,3282,261,303,-283,44,631,298,1284,1320,a
588,1627,101,1358,-65,146,739,307,540,898,a
207,2783,309,254,-395,110,106,309,236,597,a
82,1544,288,-304,-367,86,352,693,786,1644,a
337,1896,395,-86,290,104,2028,713,968,1322,a
200,2372,58,1168,-40,10,17,247,368,787,a
55,613,84,-233,-366,105,245,52,344,946,a
121,4066,251,-247,-656,104,281,-215,-196,1917,a
127,1391,155,336,-231,103,621,-223,310,1440,a
272,972,167,498,-36,64,381,492,260,442,a
37,780,140,-376,-152,93,373,-25,210,617,a
306,2433,287,107,41,33,626,408,146,474,a
44,9811,152,-97,-104,61,712,724,825,1969,a
328,257,145,820,-140,986,800,360,513,686,a
128,6270,81,76,-198,46,704,938,440,2572,a
133,6845,202,36,-102,30,537,848,94,1439,a
71,1234,286,375,-158,3107,648,926,3755,989,a
-7,-135,141,22,-76,85,345,390,173,1186,a
69,7686,155,-180,-108,2,364,615,265,1224,a
-9,10926,180,205,-58,78,1029,827,897,4555,a
126,1830,139,-124,-151,41,748,68,347,2707,a
43,219,124,-102,-243,-37,549,122,258,274,a
77,807,108,425,-275,53,85,-108,311,590,a
177,1628,102,-205,-263,64,773,222,593,1823,a
17,2790,203,-229,-203,83,245,700,104,553,a
78,5455,128,66,-53,70,814,433,741,1909,a
137,2495,84,34,-398,114,384,-674,-15,1076,a
728,454,1450,1537,4830,2139,1907,2947,1192,299,b
853,2,781,1481,-312,1185,743,1050,1243,389,b
7109,455,970,17863,4573,2046,4797,4863,5814,126,b
3844,297,408,13296,6759,753,3199,2612,2930,190,b
1507,166,275,1661,1569,577,1015,1671,1060,275,b
262,-252,316,1073,-21,208,1121,2224,1355,353,b
1567,297,555,6962,6569,1049,1755,3348,2219,279,b
9600,412,1130,14555,7372,1304,7589,6218,4607,250,b
894,385,1338,7238,4833,2087,1888,1548,1017,381,b
347,1284,774,12339,141,167,1696,3297,2212,671,b
1013,58,443,3654,2000,1689,2519,3482,4198,200,b
62,8700,168,-65,-323,91,649,178,7,1484,a
84,4614,244,68,-524,70,671,105,360,606,a
189,4357,154,250,-124,24,586,92,911,1751,a
105,7369,287,107,203,63,506,399,605,1052,a
43,7216,222,-177,-140,70,767,805,920,2428,a
88,6603,390,394,-190,92,589,-428,-62,1467,a
226,1487,73,-125,-111,45,306,252,565,1479,a
502,7540,88,-96,-120,165,687,-52,216,2148,a
51,8791,128,502,-38,-87,361,-152,289,1955,a
86,12307,117,78,-31,14,721,-61,1110,1275,a
7,5433,37,49,-83,-15,399,28,291,980,a
117,1644,111,239,-321,43,434,43,210,1277,a
101,1671,130,-39,-28,-2,661,509,187,828,a
26,1327,230,453,-21,94,1339,417,435,1361,a
204,5653,74,163,115,1,1269,1931,1053,3923,a
178,4830,252,-166,16,34,1935,395,799,1794,a
343,-28,247,2090,149,38,1602,2451,1616,929,a
187,1595,159,359,-77,27,649,878,646,821,a
169,4537,252,553,-2,167,391,162,417,1297,a
406,7480,122,180,-33,38,508,373,338,1087,a
9433,1,1533,17846,7213,892,2783,2007,3016,139,b
850,123,769,21404,19568,1233,5116,3870,3162,388,b
995,74,593,2745,9851,1269,1675,2335,1518,110,b
3871,120,928,11686,6595,1582,2730,5814,3223,197,b
2241,-218,629,10737,4366,643,2157,4403,5704,282,b
2010,51,827,3168,10120,1267,1077,2287,2458,196,b
1483,80,646,14193,5903,1480,1335,2871,1724,268,b
4177,445,336,2460,3717,1568,1814,2122,2496,461,b
140,221,526,123,2130,3166,1590,3186,1705,446,b
1347,-170,560,12735,4667,1550,1762,2194,1717,375,b
106,249,341,2103,-189,163,1397,543,1095,528,b
7807,106,1883,19680,7924,2767,1756,5949,6008,253,b
658,-27,2204,3293,2705,1415,932,4174,1819,450,b
6913,-53,1605,24178,5249,1121,1292,7133,3785,328,b
