0,1,2,3,4,5,6,7,8,9,class
10358.4,15880.4,1301.8,1702.9,-71.4,1217.5,4788.7,5542.0,9727.4,14650.4,a
10999.0,20335.0,3134.0,2965.0,-269.0,1031.0,6873.0,9464.0,12765.0,13881.0,a
2006.0,2423.0,548.0,2107.0,-236.0,531.0,3863.0,864.0,5942.0,5536.0,a
3542.0,20775.0,3602.0,7773.0,-331.0,779.0,5550.0,6503.0,6033.0,13408.0,a
2363.0,22301.0,3810.0,1223.0,-96.0,46.0,9112.0,4608.0,4484.0,5817.0,a
8181.0,22521.0,-159.0,1938.0,-265.0,1566.0,4438.0,4941.0,6720.0,14513.0,a
8134.0,24855.0,2167.0,4024.0,-78.0,2173.0,13886.0,4451.0,10401.0,16957.0,a
5714.0,21399.0,-56.0,4513.0,-284.0,1747.0,8449.0,5766.0,8238.0,15170.0,a
2208.0,29683.0,3446.0,2002.0,-73.0,1658.0,4753.0,3868.0,9133.0,18762.0,a
2008.0,21932.0,6192.0,2073.0,-135.0,2096.0,4525.0,7238.0,9096.0,7968.0,a
9155.0,21286.0,8289.0,4679.0,-237.0,1419.0,11718.0,7458.0,13890.0,16363.0,a
3198.0,22447.0,957.0,2015.0,-292.0,261.0,5688.0,3475.0,4376.0,13621.0,a
2578.0,24863.0,1242.0,2381.0,-130.0,415.0,3535.0,3467.0,3350.0,9771.0,a
6084.0,21246.0,10098.0,2093.0,-248.0,3676.0,10526.0,6533.0,12718.0,18525.0,a
2451.0,25015.0,796.0,-305.0,-270.0,1607.0,5017.0,5644.0,9157.0,16739.0,a
2992.0,22632.0,233.0,3804.0,-248.0,917.0,5489.0,10102.0,9473.0,17861.0,a
2713.0,20022.0,595.0,-471.0,-203.0,186.0,5132.0,3035.0,6948.0,11312.0,a
5150.0,20451.0,548.0,351.0,-122.0,322.0,3904.0,4856.0,13387.0,15278.0,a
2125.0,22281.0,2483.0,4452.0,-64.0,819.0,5802.0,5112.0,4485.0,11211.0,a
2220.0,24811.0,4711.0,-202.0,-442.0,29.0,9597.0,3656.0,3550.0,13869.0,a
1798.0,17130.0,1324.0,-637.0,-204.0,638.0,3121.0,3174.0,3840.0,9256.0,a
2705.0,27002.0,24.0,1229.0,-379.0,1605.0,5274.0,4538.0,9259.0,13545.0,a
7600.0,28168.0,-150.0,2011.0,-93.0,687.0,4600.0,3317.0,9295.0,14970.0,a
4509.0,15161.0,-145.0,1020.0,-123.0,965.0,1257.0,3347.0,3137.0,7426.0,a
1032.0,19090.0,-460.0,344.0,757.0,-74.0,1517.0,3862.0,4751.0,1091.0,c
87.0,138.0,-356.0,-237.0,613.0,-105.0,993.0,2381.0,2345.0,35.0,c
1065.0,18374.0,-546.0,-443.0,1815.0,-2.0,2022.0,3133.0,3747.0,4700.0,c
636.0,24837.0,-457.0,-701.0,833.0,-84.0,1605.0,2371.0,4130.0,5429.0,c
520.0,655.0,-522.0,-454.0,12947.0,-86.0,1861.0,2387.0,3463.0,2528.0,c
885.0,17394.0,-275.0,-296.0,393.0,-71.0,1777.0,2313.0,3622.0,2431.0,c
265.0,19907.0,-674.0,216.0,1171.0,-106.0,2194.0,2715.0,2867.0,4238.0,c
600.0,15347.0,239.0,29.0,1448.0,45.0,1284.0,2243.0,3210.0,2063.0,c
580.0,11140.0,-83.0,-21.0,728.0,7.0,950.0,820.0,3140.0,1419.0,c
223.0,6890.0,-813.0,721.0,1885.0,-51.0,3093.0,5092.0,3223.0,2359.0,c
423.0,15737.0,-419.0,-419.0,337.0,-82.0,137.0,3989.0,842.0,1243.0,c
1141.0,18634.0,-716.0,-269.0,1486.0,-86.0,2117.0,3751.0,4604.0,9389.0,c
1587.0,19978.0,-409.0,-259.0,1046.0,42.0,2326.0,4772.0,4410.0,2304.0,c
2171.0,12604.0,-419.0,-10.0,1661.0,-45.0,2477.0,4392.0,4578.0,11771.0,c
299.0,4758.0,-678.0,-691.0,986.0,-17.0,1532.0,2462.0,2401.0,4466.0,c
631.0,1228.0,-813.0,-518.0,1562.0,-27.0,1089.0,4276.0,3226.0,544.0,c
28.0,750.0,-791.0,-307.0,653.0,-188.0,817.0,4493.0,3711.0,53.0,c
603.0,15283.0,-769.0,-349.0,2406.0,-8.0,5104.0,4215.0,4476.0,7816.0,c
1033.0,15562.0,-840.0,-41.0,707.0,108.0,1622.0,3925.0,2508.0,5638.0,c
2194.0,1458.0,-618.0,-555.0,3332.0,-26.0,4242.0,6687.0,7695.0,2028.0,c
13.0,530.0,-877.0,-1129.0,-385.0,-77.0,924.0,2049.0,1438.0,23.0,b
194.0,274.0,-1057.0,-238.0,126.0,-130.0,754.0,829.0,848.0,596.0,b
205.0,852.0,-1232.0,-1219.0,-302.0,-89.0,1599.0,1184.0,2225.0,3244.0,b
