0,1,2,3,4,5,6,7,8,9,class
28.6,58.0,38.5,188.5,524.8,24.9,113.7,171.2,51.0,28.8,a
21.0,87.0,115.0,183.0,787.0,61.0,456.0,136.0,137.0,23.0,a
-5.0,105.0,64.0,113.0,419.0,30.0,76.0,183.0,55.0,8.0,a
19.0,39.0,87.0,141.0,687.0,39.0,106.0,139.0,37.0,11.0,a
0.0,65.0,209.0,117.0,519.0,54.0,165.0,120.0,65.0,5.0,a
-3.0,36.0,242.0,118.0,330.0,70.0,252.0,119.0,70.0,9.0,a
27.0,81.0,4.0,125.0,441.0,1.0,133.0,196.0,53.0,14.0,a
18.0,46.0,142.0,152.0,778.0,30.0,221.0,144.0,46.0,23.0,a
-14.0,70.0,-5.0,82.0,588.0,4.0,64.0,183.0,58.0,8.0,a
-18.0,103.0,11.0,118.0,553.0,22.0,75.0,215.0,83.0,11.0,a
23.0,28.0,92.0,238.0,787.0,30.0,196.0,118.0,30.0,18.0,a
25.0,45.0,108.0,164.0,948.0,61.0,172.0,199.0,108.0,14.0,a
35.0,26.0,159.0,133.0,824.0,43.0,415.0,166.0,194.0,14.0,a
-19.0,103.0,5.0,134.0,641.0,81.0,57.0,152.0,16.0,5.0,a
8.0,56.0,119.0,134.0,1402.0,51.0,317.0,167.0,107.0,-8.0,a
-25.0,40.0,3.0,138.0,464.0,50.0,79.0,165.0,54.0,10.0,a
7.0,69.0,-1.0,99.0,547.0,42.0,60.0,184.0,58.0,-32.0,a
19.0,58.0,61.0,117.0,849.0,32.0,146.0,172.0,73.0,5.0,a
15.0,86.0,3.0,145.0,509.0,1.0,86.0,193.0,17.0,6.0,a
35.0,39.0,130.0,176.0,651.0,28.0,251.0,63.0,44.0,24.0,a
40.0,38.0,41.0,144.0,2168.0,62.0,424.0,126.0,4.0,51.0,a
12.0,56.0,5.0,107.0,498.0,32.0,62.0,277.0,62.0,7.0,a
16.0,66.0,81.0,149.0,872.0,43.0,222.0,199.0,67.0,26.0,a
16.0,41.0,117.0,130.0,698.0,28.0,246.0,184.0,58.0,8.0,a
23.0,26.0,161.0,194.0,897.0,46.0,149.0,171.0,17.0,35.0,a
17.0,26.0,95.0,135.0,364.0,27.0,89.0,148.0,40.0,30.0,a
26.0,42.0,90.0,158.0,1970.0,37.0,432.0,115.0,104.0,27.0,a
26.0,47.0,89.0,159.0,637.0,28.0,276.0,108.0,54.0,20.0,a
-7.0,115.0,1.0,80.0,421.0,12.0,44.0,129.0,13.0,21.0,a
18.0,15.0,72.0,213.0,628.0,30.0,302.0,110.0,60.0,24.0,a
13.0,22.0,114.0,151.0,784.0,33.0,359.0,178.0,86.0,8.0,a
281.0,113.0,31.0,207.0,246.0,29.0,10.0,98.0,9.0,54.0,a
106.0,13.0,37.0,177.0,1064.0,36.0,262.0,109.0,83.0,69.0,a
4.0,23.0,153.0,164.0,670.0,50.0,486.0,204.0,327.0,5.0,a
145.0,39.0,78.0,145.0,456.0,30.0,37.0,134.0,2.0,12.0,a
39.0,25.0,96.0,148.0,581.0,34.0,366.0,124.0,158.0,10.0,a
-6.0,32.0,197.0,159.0,1724.0,51.0,277.0,321.0,104.0,18.0,a
85.0,29.0,60.0,153.0,609.0,31.0,125.0,110.0,65.0,28.0,a
4.0,28.0,129.0,119.0,1086.0,41.0,970.0,152.0,50.0,-4.0,a
5.0,15.0,235.0,129.0,1057.0,43.0,297.0,170.0,93.0,3.0,a
29.0,18.0,159.0,134.0,1494.0,58.0,427.0,165.0,135.0,8.0,a
-142.0,29.0,-19.0,43.0,448.0,-30.0,85.0,202.0,102.0,-22.0,a
15.0,98.0,84.0,179.0,785.0,33.0,226.0,108.0,69.0,29.0,a
26.0,24.0,99.0,153.0,655.0,33.0,208.0,151.0,101.0,16.0,a
134.0,34.0,79.0,165.0,380.0,37.0,201.0,154.0,47.0,43.0,a
182.0,12.0,100.0,194.0,713.0,30.0,203.0,133.0,69.0,58.0,a
97.0,67.0,59.0,161.0,420.0,39.0,100.0,111.0,63.0,51.0,a
86.0,14.0,177.0,210.0,881.0,44.0,315.0,92.0,15.0,17.0,a
44.0,46.0,137.0,179.0,809.0,47.0,310.0,133.0,148.0,33.0,a
97.0,38.0,138.0,200.0,240.0,29.0,152.0,141.0,30.0,30.0,a
369.0,203.0,16.0,335.0,165.0,28.0,20.0,87.0,15.0,62.0,b
573.0,182.0,13.0,298.0,109.0,21.0,38.0,51.0,8.0,145.0,b
128.0,117.0,39.0,212.0,215.0,13.0,49.0,79.0,22.0,121.0,b
84.0,153.0,40.0,273.0,366.0,27.0,49.0,125.0,26.0,66.0,b
34.0,167.0,70.0,251.0,131.0,13.0,21.0,79.0,8.0,71.0,b
593.0,94.0,56.0,298.0,149.0,26.0,74.0,64.0,2.0,122.0,b
397.0,89.0,47.0,236.0,351.0,31.0,35.0,144.0,18.0,46.0,b
518.0,215.0,54.0,338.0,166.0,25.0,41.0,57.0,7.0,89.0,b
174.0,389.0,62.0,159.0,626.0,21.0,17.0,45.0,11.0,-2.0,b
149.0,421.0,43.0,236.0,429.0,23.0,30.0,87.0,9.0,20.0,b
186.0,168.0,50.0,219.0,411.0,23.0,60.0,93.0,8.0,48.0,b
115.0,109.0,37.0,211.0,340.0,5.0,55.0,79.0,27.0,1.0,b
264.0,207.0,38.0,318.0,205.0,13.0,36.0,83.0,11.0,92.0,b
73.0,85.0,8.0,169.0,499.0,12.0,52.0,124.0,54.0,16.0,b
313.0,215.0,31.0,370.0,322.0,11.0,29.0,96.0,23.0,56.0,b
375.0,152.0,30.0,289.0,350.0,19.0,42.0,103.0,26.0,81.0,b
34.0,379.0,8.0,197.0,218.0,24.0,24.0,105.0,-1.0,76.0,b
8.0,96.0,71.0,123.0,414.0,33.0,62.0,194.0,10.0,2.0,b
120.0,112.0,34.0,178.0,347.0,31.0,60.0,112.0,-8.0,42.0,b
376.0,187.0,16.0,256.0,264.0,23.0,51.0,110.0,28.0,66.0,b
184.0,223.0,28.0,274.0,267.0,22.0,42.0,72.0,18.0,101.0,b
